task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
nyudepth,14,1,4.2404,4.2797,39.2561,39.2561,30.0885,29.375,0.001,0.3731,4.4222,9.1676,1775522157609398196,0
nyudepth,14,1,4.2797,4.3196,39.8738,39.8738,29.2823,28.3971,0.0009,0.6915,6.0327,10.5915,1775522157650270788,0
nyudepth,14,1,4.3196,4.3587,39.1107,39.1107,33.1615,32.6252,0.0008,0.36,1.0812,5.9492,1775522157685198847,0
nyudepth,14,1,4.3587,4.3978,39.072,39.072,29.8619,29.2524,0.001,0.3734,4.6368,9.2101,1775522157727870442,0
nyudepth,14,1,4.3978,4.4365,38.7621,38.7621,30.0511,29.4465,0.0009,0.3647,4.0147,8.711,1775522157766326136,0
nyudepth,14,1,4.4365,4.4757,39.151,39.151,29.4055,28.8051,0.001,0.373,4.7512,9.7454,1775522157805830575,0
nyudepth,14,1,4.4757,4.5138,38.0981,38.0981,27.5108,26.9484,0.0008,0.3681,5.8289,10.5873,1775522157846064802,0
nyudepth,14,1,4.5138,4.5524,38.5675,38.5675,28.0076,27.4187,0.0009,0.3707,5.954,10.5599,1775522157884294230,0
nyudepth,14,1,4.5524,4.5916,39.2611,39.2611,30.6955,30.0964,0.0011,0.402,3.7916,8.5656,1775522157920704375,0
nyudepth,14,1,4.5916,4.6301,38.4386,38.4386,29.8845,29.2363,0.0009,0.3877,3.89,8.554,1775522157960069301,0
nyudepth,14,1,4.6301,4.6692,39.1514,39.1514,29.8176,29.2039,0.001,0.3932,4.5714,9.3339,1775522157999194461,0
nyudepth,14,1,4.6692,4.7086,39.3934,39.3934,27.9761,26.8844,0.0009,0.8508,6.7844,11.4173,1775522158040564055,0
nyudepth,14,1,4.7086,4.7472,38.5215,38.5215,30.0877,29.5094,0.0009,0.3948,3.8412,8.4338,1775522158077019531,0
nyudepth,14,1,4.7472,4.7856,38.4231,38.4231,29.6811,29.1295,0.0009,0.3728,3.9644,8.742,1775522158115671420,0
nyudepth,14,1,4.7856,4.8247,39.062,39.062,29.1653,28.6119,0.001,0.3754,5.1198,9.8967,1775522158155256370,0
nyudepth,14,1,4.8247,4.8637,39.0151,39.0151,29.7976,29.1381,0.001,0.3773,4.6616,9.2174,1775522158193866418,0
nyudepth,14,1,4.8637,4.9023,38.6159,38.6159,29.2369,28.6338,0.0009,0.3917,4.6883,9.379,1775522158232914536,0
nyudepth,14,1,4.9023,4.9412,38.9094,38.9094,28.2886,27.5843,0.001,0.3894,5.8777,10.6208,1775522158272726013,0
nyudepth,14,1,4.9412,4.9802,38.9814,38.9814,29.534,28.873,0.001,0.3974,4.6535,9.4474,1775522158310416498,0
nyudepth,14,1,4.9802,5.0197,39.4537,39.4537,33.8118,33.1942,0.0009,0.3833,0.9778,5.6419,1775522158345728537,0
nyudepth,14,1,5.0197,5.059,39.315,39.315,30.9392,30.2843,0.0009,0.3964,3.7732,8.3757,1775522158387982802,0
nyudepth,14,1,5.059,5.0977,38.7135,38.7135,29.4099,28.8408,0.0009,0.3705,4.622,9.3035,1775522158428152297,0
nyudepth,14,1,5.0977,5.1365,38.8319,38.8319,28.816,28.1706,0.0009,0.3658,5.1794,10.016,1775522158467429291,0
nyudepth,14,1,5.1365,5.1743,37.7691,37.7691,28.8745,28.2144,0.001,0.385,4.0994,8.8946,1775522158505186868,0
nyudepth,14,1,5.1743,5.2129,38.6224,38.6224,32.8488,32.2521,0.0009,0.3994,0.9835,5.7736,1775522158539845231,0
nyudepth,14,1,5.2129,5.2515,38.5892,38.5892,28.2099,27.5558,0.0015,0.3802,5.8346,10.3793,1775522158583324815,0
nyudepth,14,1,5.2515,5.2906,39.0437,39.0437,30.5898,30.0034,0.0009,0.3787,3.536,8.4539,1775522158619621647,0
nyudepth,14,1,5.2906,5.3293,38.6848,38.6848,28.1193,27.4769,0.0009,0.3899,5.8241,10.5655,1775522158660959361,0
nyudepth,14,1,5.3293,5.3684,39.1102,39.1102,28.0399,27.3896,0.0009,0.3876,6.4466,11.0703,1775522158700272295,0
nyudepth,14,1,5.3684,5.4078,39.4471,39.4471,30.7767,30.1209,0.0009,0.3885,3.9005,8.6703,1775522158736842164,0
