task,send_elapsed_s,latency_ms,server_exec_ms,worker_id,has_adapter
ecgclass,9.0530,203.771,175.036,0,1
ecgclass__app2,9.0550,202.069,175.292,0,1
ecgclass__app5,9.0552,202.304,175.777,0,1
ecgclass__app8,9.0547,202.895,175.859,0,0
ecgclass__app4,9.0537,204.714,176.866,0,1
ecgclass__app9,9.0853,202.704,39.510,0,0
ecgclass__app1,9.2565,200.116,172.209,0,1
ecgclass__app6,9.2562,201.764,172.834,0,0
ecgclass__app4,9.2584,199.922,173.033,0,1
ecgclass__app7,9.2538,204.589,173.219,0,0
ecgclass__app2,9.2571,201.549,173.295,0,1
ecgclass__app3,9.2560,202.758,173.455,0,1
ecgclass,9.2568,202.340,173.625,0,1
ecgclass__app8,9.2576,201.622,173.650,0,0
ecgclass__app5,9.2575,201.742,174.337,0,1
ecgclass__app9,9.2880,200.986,38.871,0,0
ecgclass__app2,9.4586,200.921,174.292,0,1
ecgclass__app3,9.4588,201.226,174.583,0,1
ecgclass__app8,9.4592,201.150,174.652,0,0
ecgclass__app4,9.4583,202.139,174.915,0,1
ecgclass__app6,9.4579,202.896,175.436,0,0
ecgclass__app7,9.4584,202.499,175.488,0,0
ecgclass,9.4592,201.967,175.525,0,1
ecgclass__app5,9.4593,203.041,177.022,0,1
ecgclass__app1,9.4566,206.248,177.687,0,1
ecgclass__app9,9.4890,203.300,39.875,0,0
ecgclass__app1,9.6629,198.444,172.725,0,1
ecgclass__app6,9.6608,201.275,173.394,0,0
ecgclass__app4,9.6605,201.776,173.497,0,1
ecgclass__app5,9.6623,200.852,174.121,0,1
ecgclass,9.6611,202.163,174.303,0,1
ecgclass__app8,9.6604,203.133,174.328,0,0
ecgclass__app3,9.6600,203.691,174.494,0,1
ecgclass__app7,9.6609,203.796,176.223,0,0
ecgclass__app2,9.6596,205.692,176.901,0,1
ecgclass__app9,9.6923,202.468,37.839,0,0
ecgclass__app7,9.8647,196.899,170.545,0,0
ecgclass__app2,9.8653,197.234,171.243,0,1
ecgclass__app3,9.8637,199.113,171.529,0,1
ecgclass__app5,9.8632,199.748,171.666,0,1
ecgclass__app8,9.8635,200.341,172.697,0,0
ecgclass__app1,9.8613,202.847,173.040,0,1
ecgclass,9.8633,201.170,173.272,0,1
ecgclass__app6,9.8621,202.836,174.046,0,0
ecgclass__app4,9.8622,203.379,174.754,0,1
ecgclass__app9,9.8948,200.039,39.142,0,0
ecgclass__app2,10.0625,201.401,172.672,0,1
ecgclass,10.0645,200.584,173.132,0,1
ecgclass__app7,10.0616,203.590,173.312,0,0
ecgclass__app5,10.0630,202.597,173.442,0,1
ecgclass__app1,10.0642,201.645,173.769,0,1
ecgclass__app4,10.0656,200.391,173.810,0,1
ecgclass__app3,10.0629,203.436,174.742,0,1
ecgclass__app6,10.0650,201.700,175.401,0,0
ecgclass__app8,10.0639,203.100,175.640,0,0
ecgclass__app9,10.0949,202.397,38.919,0,0
ecgclass__app8,10.2670,200.379,172.988,0,0
ecgclass__app7,10.2652,202.269,173.260,0,0
ecgclass__app5,10.2656,202.224,173.630,0,1
ecgclass__app1,10.2658,202.248,174.431,0,1
ecgclass,10.2651,203.217,174.710,0,1
ecgclass__app4,10.2660,203.686,176.139,0,1
ecgclass__app6,10.2667,203.108,176.173,0,0
ecgclass__app3,10.2663,203.790,176.270,0,1
ecgclass__app2,10.2639,206.403,176.836,0,1
ecgclass__app9,10.2973,202.540,39.273,0,0
ecgclass__app4,10.4697,199.115,172.846,0,1
ecgclass__app1,10.4681,201.479,173.139,0,1
ecgclass__app3,10.4701,199.708,173.234,0,1
ecgclass__app8,10.4674,202.514,173.316,0,0
ecgclass__app2,10.4703,199.885,174.128,0,1
ecgclass__app7,10.4675,203.539,174.937,0,0
ecgclass__app5,10.4678,203.480,174.972,0,1
ecgclass__app6,10.4698,201.686,175.242,0,0
ecgclass,10.4683,204.412,176.971,0,1
ecgclass__app9,10.4998,202.051,38.748,0,0
ecgclass__app3,10.6698,201.221,172.856,0,1
ecgclass__app6,10.6715,200.711,173.297,0,0
ecgclass__app8,10.6699,202.888,174.067,0,0
ecgclass__app1,10.6696,203.317,174.258,0,1
ecgclass__app7,10.6711,202.214,174.607,0,0
ecgclass__app4,10.6689,204.499,174.689,0,1
ecgclass__app2,10.6702,203.325,175.053,0,1
ecgclass,10.6728,201.064,175.639,0,1
ecgclass__app5,10.6713,203.520,176.885,0,1
ecgclass__app9,10.7019,202.919,39.519,0,0
ecgclass__app1,10.8729,200.572,172.583,0,1
ecgclass__app7,10.8733,201.014,173.281,0,0
ecgclass,10.8738,200.589,173.349,0,1
ecgclass__app6,10.8722,202.416,173.423,0,0
ecgclass__app3,10.8711,203.817,173.583,0,1
ecgclass__app5,10.8748,200.323,174.256,0,1
ecgclass__app2,10.8736,202.428,175.053,0,1
ecgclass__app8,10.8728,203.284,175.197,0,0
ecgclass__app4,10.8734,203.061,175.417,0,1
ecgclass__app9,10.9048,201.946,39.835,0,0
ecgclass__app7,11.0743,201.166,172.511,0,0
ecgclass__app1,11.0735,203.725,173.502,0,1
ecgclass__app8,11.0761,201.405,173.672,0,0
ecgclass__app3,11.0749,202.703,173.761,0,1
ecgclass__app5,11.0752,202.854,174.135,0,1
ecgclass__app6,11.0747,203.420,174.186,0,0
ecgclass,11.0744,203.727,174.303,0,1
ecgclass__app4,11.0764,201.751,174.408,0,1
ecgclass__app2,11.0760,202.204,174.869,0,1
