task,t_center,count,throughput_rps,p50_ms,p99_ms,mean_ms
trafficfore,58.5,13,13.0,56.13923072814941,103.96245002746582,62.33057608971229
trafficfore,59.5,15,15.0,85.24036407470703,123.65008831024169,84.5758597056071
trafficfore,60.5,68,68.0,242.30825901031494,524.1863656044006,241.48786418578203
trafficfore,61.5,85,85.0,126.18112564086914,470.90963363647455,152.105292151956
trafficfore,62.5,76,76.0,98.10471534729004,209.3512415885925,102.4883232618633
trafficfore,63.5,66,66.0,78.57966423034668,204.81517314910866,89.1470547878381
trafficfore,64.5,59,59.0,78.53055000305176,181.3423490524292,84.02967857102216
trafficfore,65.5,59,59.0,80.32941818237305,180.6479072570801,85.39033744294764
trafficfore,66.5,64,64.0,84.03217792510986,250.91970682144165,100.96805170178413
trafficfore,67.5,68,68.0,85.38651466369629,146.9032621383667,85.33125063952278
trafficfore,68.5,55,55.0,72.80731201171875,135.20615577697754,77.60092995383523
trafficfore,69.5,58,58.0,78.83286476135254,172.17407941818237,88.57995477215997
trafficfore,70.5,58,58.0,75.93536376953125,133.12437534332275,77.19556627602412
trafficfore,71.5,61,61.0,90.9276008605957,143.88875961303708,89.82171777819023
trafficfore,72.5,57,57.0,72.95775413513184,127.86771774291991,76.65276527404785
trafficfore,73.5,81,81.0,129.1098594665527,242.60845184326175,132.1170859866672
trafficfore,74.5,77,77.0,121.628999710083,272.75981903076166,130.41734076165534
trafficfore,75.5,69,69.0,80.88040351867676,335.0302028656006,106.53830611187479
trafficfore,76.5,65,65.0,88.37270736694336,206.89742088317868,100.18953543442946
trafficfore,77.5,73,73.0,165.50254821777344,376.0024642944336,177.80536168242153
trafficfore,78.5,84,84.0,181.72812461853027,409.623441696167,190.8721583230155
trafficfore,79.5,60,60.0,82.01587200164795,146.38028621673584,85.08138656616211
trafficfore,80.5,79,79.0,105.1180362701416,210.9169340133667,105.17752925051919
trafficfore,81.5,66,66.0,85.79683303833008,285.17476320266724,106.66484182531184
trafficfore,82.5,65,65.0,107.6052188873291,188.6665058135986,108.0408866588886
trafficfore,83.5,78,78.0,124.32515621185303,220.14555931091314,124.01051399035332
trafficfore,84.5,67,67.0,97.4140167236328,178.76535892486578,97.34380067284428
trafficfore,85.5,52,52.0,71.19452953338623,116.23648881912233,74.85808775975154
trafficfore,86.5,74,74.0,97.88382053375244,219.3369436264037,111.3444760039046
trafficfore,87.5,62,62.0,87.55290508270264,185.1947522163391,90.6430713592037
trafficfore,88.5,70,70.0,82.88180828094482,202.90354251861575,97.75929791586739
trafficfore,89.5,65,65.0,88.45901489257812,159.8946762084961,90.74557010944073
trafficfore,90.5,66,66.0,97.50890731811523,195.3555822372436,108.72227495366877
trafficfore,91.5,65,65.0,121.54555320739746,388.215389251709,169.71589235159067
trafficfore,92.5,84,84.0,192.1367645263672,363.41946363449097,202.01488052095686
trafficfore,93.5,82,82.0,143.00596714019775,387.3142957687378,158.9932092806188
trafficfore,94.5,53,53.0,87.40949630737305,279.3747138977051,111.58844210066886
trafficfore,95.5,61,61.0,80.66654205322266,138.96689414978025,81.10825351027192
trafficfore,96.5,62,62.0,102.22434997558594,208.698091506958,102.41347743618873
trafficfore,97.5,63,63.0,105.11136054992676,204.51560974121097,104.6265723213317
trafficfore,98.5,75,75.0,235.07952690124512,440.8091068267823,224.88738377888998
trafficfore,99.5,86,86.0,209.20777320861816,335.92377901077276,206.37739536374113
trafficfore,100.5,64,64.0,135.16974449157715,320.3451371192932,155.1612839102745
trafficfore,101.5,87,87.0,121.82378768920898,297.6422643661499,136.64630089683095
trafficfore,102.5,57,57.0,77.3305892944336,168.11892509460446,84.044895674053
trafficfore,103.5,73,73.0,92.13376045227052,190.05727767944333,98.78656635545704
trafficfore,104.5,63,63.0,86.25149726867676,145.05167484283447,84.37713744148375
trafficfore,105.5,52,52.0,80.55472373962402,120.13067722320558,78.01150817137498
trafficfore,106.5,67,67.0,83.94598960876465,170.76803207397467,88.5895401684206
trafficfore,107.5,76,76.0,135.91372966766357,276.0026454925537,141.16205667194566
trafficfore,108.5,65,65.0,80.38520812988281,227.5277805328369,91.56195934002216
trafficfore,109.5,75,75.0,106.02355003356934,308.59073162078863,128.98881912231445
trafficfore,110.5,77,77.0,105.00335693359376,254.59652900695795,120.23716777950138
trafficfore,111.5,71,71.0,106.26053810119627,176.47385597229,106.24803959483832
trafficfore,112.5,54,54.0,73.37021827697754,129.56360816955566,73.9810864130656
trafficfore,113.5,72,72.0,86.61413192749023,223.08520793914798,101.84713866975572
trafficfore,114.5,64,64.0,184.3031644821167,364.5848178863525,181.41696602106094
trafficfore,115.5,86,86.0,161.263108253479,498.4648585319522,220.19975129948105
trafficfore,116.5,73,73.0,87.92448043823242,186.92615509033203,94.99803634539042
trafficfore,117.5,72,72.0,90.68584442138672,175.01370668411272,91.5868878364563
trafficfore,118.5,69,69.0,81.16865158081055,177.99841880798328,89.18485434158988
trafficfore,119.5,70,70.0,113.58022689819336,265.7474803924561,118.83070128304618
trafficfore,120.5,74,74.0,100.55220127105713,213.60687732696528,104.92315807858029
trafficfore,121.5,71,71.0,150.72393417358398,337.1387720108031,160.40808046367806
trafficfore,122.5,74,74.0,158.555269241333,435.5183529853821,181.01342948707375
trafficfore,123.5,73,73.0,106.30059242248537,349.12315368652344,142.77443167281479
trafficfore,124.5,73,73.0,98.15478324890135,209.9558830261231,105.73372448960396
trafficfore,125.5,73,73.0,119.62175369262695,239.016695022583,124.98921564180557
trafficfore,126.5,60,60.0,101.05717182159424,183.05144786834708,102.86655028661092
trafficfore,127.5,71,71.0,94.5577621459961,174.0584135055542,97.20817753966425
trafficfore,128.5,70,70.0,102.05960273742676,216.89167022705084,108.67811271122524
trafficfore,129.5,77,77.0,134.14907455444336,253.18890571594238,136.39681370227368
trafficfore,130.5,65,65.0,86.63749694824219,179.16703224182126,92.81287560096153
trafficfore,131.5,57,57.0,120.04828453063963,233.59002113342282,123.62588079352128
trafficfore,132.5,65,65.0,87.02564239501953,180.3714370727539,92.23940189068134
trafficfore,133.5,71,71.0,92.9422378540039,274.2772579193115,123.87557096884284
trafficfore,134.5,85,85.0,183.02178382873532,360.3783702850342,186.09607079449822
trafficfore,135.5,67,67.0,94.99907493591309,333.7401390075684,121.2759338208099
trafficfore,136.5,85,85.0,205.6136131286621,378.7953186035156,213.2438070633832
trafficfore,137.5,62,62.0,273.0858325958252,445.5916380882263,240.3836557942052
trafficfore,138.5,74,74.0,140.5395269393921,436.6450834274292,191.55801309121622
trafficfore,139.5,73,73.0,108.79755020141602,203.54415893554688,109.79132129721445
trafficfore,140.5,73,73.0,141.47281646728516,219.90384101867676,134.74593423817257
trafficfore,141.5,71,71.0,128.6008358001709,332.6692819595336,142.57493489225146
trafficfore,142.5,70,70.0,126.88696384429932,370.66228866577154,146.96223395211356
trafficfore,143.5,64,64.0,86.7542028427124,171.45599365234364,91.31445363163948
trafficfore,144.5,79,79.0,142.4870491027832,440.84068775177,164.11021691334398
trafficfore,145.5,72,72.0,237.31780052185056,561.4910960197449,272.8159725666046
trafficfore,146.5,84,84.0,423.69401454925537,740.1036167144775,338.796629792168
trafficfore,147.5,80,80.0,177.92630195617676,711.1957764625548,262.0472580194473
trafficfore,148.5,81,81.0,113.480806350708,266.5019512176514,131.07653900429054
trafficfore,149.5,65,65.0,96.20118141174316,160.1137638092041,92.8670883178711
trafficfore,150.5,68,68.0,94.66421604156494,318.4149169921875,122.23652881734512
