req_id,req_time,site_manager,device,backbone,task,latency
4139,64.46651977742577,site2,http://10.100.20.53:8001,chronostiny,sysbp,18.9971923828125
4140,64.46651977742577,site2,http://10.100.20.53:8001,chronostiny,sysbp,18.973827362060547
4141,64.4691817256764,site2,http://10.100.20.53:8001,chronostiny,diasbp,25.423288345336914
4142,64.48712562422543,site2,http://10.100.20.53:8001,chronostiny,ecgclass,21.119117736816406
4143,64.48730292078098,site2,http://10.100.20.53:8001,chronostiny,diasbp,29.283523559570312
4144,64.49024509214831,site2,http://10.100.20.53:8001,chronostiny,heartrate,30.445337295532227
4145,64.49086308857048,site2,http://10.100.20.53:8001,chronostiny,ecgclass,38.49029541015625
4146,64.49086308857048,site2,http://10.100.20.53:8001,chronostiny,sysbp,46.81396484375
4147,64.494144294312,site2,http://10.100.20.53:8001,chronostiny,diasbp,49.185752868652344
4148,64.49628397686921,site2,http://10.100.20.53:8001,chronostiny,ecgclass,55.297136306762695
4149,64.49806949221447,site2,http://10.100.20.53:8001,chronostiny,diasbp,62.49880790710449
4150,64.49806949221447,site2,http://10.100.20.53:8001,chronostiny,diasbp,71.14934921264648
4151,64.49863727258506,site2,http://10.100.20.53:8001,chronostiny,sysbp,79.74839210510254
4152,64.52020681505385,site2,http://10.100.20.53:8001,chronostiny,heartrate,63.82346153259277
4153,64.53276974814443,site2,http://10.100.20.53:8001,chronostiny,ecgclass,59.14425849914551
4154,64.56649263023395,site2,http://10.100.20.53:8001,chronostiny,diasbp,26.1993408203125
4155,64.58388867664753,site2,http://10.100.20.53:8001,chronostiny,sysbp,26.98540687561035
4156,64.5849481030322,site2,http://10.100.20.53:8001,chronostiny,heartrate,26.416540145874023
4157,64.60189000922144,site2,http://10.100.20.53:8001,chronostiny,diasbp,25.644302368164062
4158,64.60189000922144,site2,http://10.100.20.53:8001,chronostiny,sysbp,25.534391403198242
4159,64.64334103520089,site2,http://10.100.20.53:8001,chronostiny,diasbp,10.49184799194336
4160,64.65341678893361,site2,http://10.100.20.53:8001,chronostiny,sysbp,10.384321212768555
4161,64.66126510508946,site2,http://10.100.20.53:8001,chronostiny,ecgclass,6.961345672607422
4162,64.75030876368201,site2,http://10.100.20.53:8001,chronostiny,diasbp,10.47205924987793
4163,64.76660668322245,site2,http://10.100.20.53:8001,chronostiny,diasbp,9.814023971557617
4164,64.79443014503246,site2,http://10.100.20.53:8001,chronostiny,sysbp,10.31041145324707
4165,64.8029656394867,site2,http://10.100.20.53:8001,chronostiny,diasbp,10.10894775390625
