task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
ecgclass,2,1,3.0578,3.083,25.1198,25.1198,22.5578,21.5655,0.0019,1.5342,2.562,1775531104623463381,0
ecgclass,2,1,3.083,3.1081,25.0814,25.0814,22.5841,21.5847,0.0018,1.5008,2.4973,1775531104648565535,0
ecgclass,2,1,3.1081,3.1332,25.1081,25.1081,22.5491,21.5284,0.002,1.5314,2.559,1775531104673693243,0
ecgclass,2,1,3.1332,3.1597,26.4702,26.4702,23.9403,22.459,0.002,1.529,2.5299,1775531104698814828,0
ecgclass,2,1,3.1597,3.1849,25.1908,25.1908,22.5812,21.5864,0.002,1.5476,2.6096,1775531104725319115,0
ecgclass,2,1,3.1849,3.2101,25.1791,25.1791,22.6277,21.6138,0.002,1.5473,2.5514,1775531104750525540,0
ecgclass,2,1,3.2101,3.2352,25.0905,25.0905,22.5273,21.5344,0.0021,1.5366,2.5631,1775531104775710163,0
ecgclass,2,1,3.2352,3.2602,25.0471,25.0471,22.5701,21.568,0.0018,1.5323,2.4769,1775531104800812279,0
ecgclass,2,1,3.2603,3.2854,25.1489,25.1489,22.5948,21.5919,0.0019,1.5092,2.5541,1775531104825853254,0
ecgclass,2,1,3.2854,3.3106,25.2159,25.2159,22.6328,21.6223,0.0019,1.5366,2.583,1775531104851045165,0
ecgclass,2,1,3.3106,3.3357,25.0669,25.0669,22.5736,21.5793,0.0021,1.4641,2.4932,1775531104876204374,0
ecgclass,2,1,3.3357,3.3608,25.0847,25.0847,22.5262,21.5328,0.0019,1.5495,2.5586,1775531104901371531,0
ecgclass,2,1,3.3608,3.386,25.1238,25.1238,22.5896,21.5806,0.002,1.5082,2.5342,1775531104926431231,0
ecgclass,2,1,3.386,3.4116,25.6631,25.6631,23.1037,21.5785,0.002,1.5106,2.5595,1775531104951573306,0
ecgclass,2,1,3.4116,3.4368,25.1751,25.1751,22.6214,21.6175,0.002,1.5178,2.5537,1775531104977259157,0
ecgclass,2,1,3.4369,3.4619,25.0285,25.0285,22.5103,21.5001,0.002,1.5068,2.5182,1775531105002457592,0
ecgclass,2,1,3.4619,3.487,25.0716,25.0716,22.5584,21.5638,0.0019,1.4884,2.5132,1775531105027483885,0
ecgclass,2,1,3.487,3.5121,25.0857,25.0857,22.5477,21.5506,0.0018,1.4939,2.538,1775531105052576790,0
ecgclass,2,1,3.5121,3.5371,25.0485,25.0485,22.4892,21.4933,0.0018,1.5163,2.5593,1775531105077700740,0
ecgclass,2,1,3.5372,3.5622,25.0461,25.0461,22.5275,21.5139,0.002,1.5521,2.5186,1775531105102800818,0
ecgclass,2,1,3.5622,3.5873,25.1124,25.1124,22.5759,21.5783,0.0019,1.5087,2.5365,1775531105127818675,0
ecgclass,2,1,3.5873,3.6124,25.089,25.089,22.5272,21.5312,0.0019,1.5328,2.5618,1775531105152971101,0
ecgclass,2,1,3.6125,3.6376,25.1358,25.1358,22.5633,21.5632,0.002,1.5249,2.5724,1775531105178068250,0
ecgclass,2,1,3.6376,3.664,26.4304,26.4304,23.8986,22.412,0.0018,1.5194,2.5318,1775531105203213729,0
ecgclass,2,1,3.664,3.6891,25.085,25.085,22.5131,21.5046,0.002,1.5256,2.5719,1775531105229666207,0
ecgclass,2,1,3.6891,3.7142,25.0759,25.0759,22.4906,21.4761,0.0019,1.5383,2.5853,1775531105254779556,0
ecgclass,2,1,3.7142,3.7393,25.1014,25.1014,22.5449,21.5436,0.0021,1.5311,2.5566,1775531105279864194,0
ecgclass,2,1,3.7394,3.7645,25.1081,25.1081,22.5258,21.5231,0.0019,1.5504,2.5823,1775531105305000882,0
ecgclass,2,1,3.7645,3.7896,25.1575,25.1575,22.5529,21.5442,0.0019,1.5583,2.6046,1775531105330134320,0
ecgclass,2,1,3.7897,3.8147,25.0866,25.0866,22.5004,21.4789,0.0019,1.5407,2.5862,1775531105355289469,0
ecgclass,2,1,3.8148,3.8399,25.0971,25.0971,22.5894,21.5903,0.002,1.4939,2.5078,1775531105380345226,0
ecgclass,2,1,3.8399,3.865,25.1281,25.1281,22.5671,21.5664,0.002,1.5075,2.561,1775531105405472053,0
ecgclass,2,1,3.865,3.8901,25.0938,25.0938,22.5771,21.5619,0.002,1.4908,2.5167,1775531105430599446,0
ecgclass,2,1,3.8901,3.9152,25.074,25.074,22.5607,21.5256,0.0019,1.5254,2.5133,1775531105455743550,0
ecgclass,2,1,3.9152,3.9408,25.6207,25.6207,23.0676,21.5426,0.0019,1.5223,2.5531,1775531105480830843,0
ecgclass,2,1,3.9409,3.9659,25.0509,25.0509,22.4942,21.4869,0.0019,1.5459,2.5567,1775531105506512349,0
ecgclass,2,1,3.9659,3.991,25.0964,25.0964,22.5764,21.5819,0.002,1.5011,2.5201,1775531105531534045,0
ecgclass,2,1,3.9911,4.0162,25.1012,25.1012,22.5408,21.5417,0.0019,1.5306,2.5604,1775531105556675917,0
ecgclass,2,1,4.0162,4.0412,25.0716,25.0716,22.5177,21.5234,0.002,1.5042,2.5539,1775531105581766398,0
ecgclass,2,1,4.0413,4.0664,25.1076,25.1076,22.5486,21.5349,0.0019,1.5364,2.5591,1775531105606885857,0
ecgclass,2,1,4.0664,4.0915,25.1012,25.1012,22.5711,21.579,0.0021,1.4951,2.5301,1775531105631968336,0
ecgclass,2,1,4.0915,4.1166,25.0962,25.0962,22.4983,21.5028,0.0021,1.5657,2.5979,1775531105657155789,0
ecgclass,2,1,4.1166,4.1417,25.1095,25.1095,22.5242,21.5291,0.002,1.5526,2.5854,1775531105682254476,0
ecgclass,2,1,4.1417,4.1677,25.9342,25.9342,23.4488,22.4527,0.0019,1.4303,2.4855,1775531105707257852,0
ecgclass,2,1,4.1677,4.1933,25.6617,25.6617,23.0905,21.5237,0.002,1.5507,2.5712,1775531105733327850,0
ecgclass,2,1,4.1934,4.2183,24.9844,24.9844,22.5188,21.506,0.002,1.482,2.4656,1775531105758937151,0
ecgclass,2,1,4.2184,4.2433,24.9765,24.9765,22.6002,21.6027,0.0021,1.5128,2.3763,1775531105783967731,0
ecgclass,2,1,4.2433,4.2684,25.0354,25.0354,22.544,21.5326,0.002,1.4853,2.4913,1775531105808924947,0
ecgclass,2,1,4.2684,4.2935,25.1157,25.1157,22.5512,21.5564,0.002,1.5135,2.5645,1775531105834007016,0
ecgclass,2,1,4.2935,4.3186,25.075,25.075,22.5282,21.5165,0.0019,1.5252,2.5467,1775531105859149988,0
ecgclass,2,1,4.3186,4.3437,25.0492,25.0492,22.4944,21.4971,0.002,1.5349,2.5548,1775531105884250875,0
ecgclass,2,1,4.3437,4.3688,25.1355,25.1355,22.5582,21.5602,0.002,1.5447,2.5774,1775531105909325885,0
ecgclass,2,1,4.3689,4.3939,25.0783,25.0783,22.5469,21.536,0.0021,1.5028,2.5314,1775531105934455282,0
ecgclass,2,1,4.394,4.4191,25.1341,25.1341,22.5848,21.5793,0.0021,1.5204,2.5493,1775531105959566774,0
ecgclass,2,1,4.4191,4.4447,25.6157,25.6157,23.0546,21.5475,0.0019,1.5185,2.5611,1775531105984715117,0
ecgclass,2,1,4.4447,4.4699,25.1632,25.1632,22.6072,21.5991,0.0021,1.5097,2.5559,1775531106010337347,0
ecgclass,2,1,4.4699,4.495,25.0747,25.0747,22.547,21.5517,0.0021,1.5175,2.5278,1775531106035523898,0
ecgclass,2,1,4.495,4.52,25.018,25.018,22.5631,21.5635,0.0019,1.4887,2.4549,1775531106060585424,0
ecgclass,2,1,4.52,4.5452,25.1577,25.1577,22.5755,21.5795,0.0019,1.5519,2.5822,1775531106085682764,0
