req_id,send_time_rel
15177,37.824813
15178,37.827387
15179,37.828834
15180,37.84812
15181,37.850371
15182,37.850839
15183,37.854096
15184,37.860867
15185,37.86373
15186,37.866207
15187,37.867291
15188,37.868078
15189,37.872595
15190,37.873346
15191,37.873348
15192,37.874255
15193,37.874568
15194,37.877348
15195,37.878155
15196,37.880033
15197,37.880259
15198,37.887807
15199,37.891005
15200,37.893772
15201,37.898249
15202,37.89829
15203,37.908086
15204,37.908919
15205,37.914544
15206,37.916193
15207,37.917384
15208,37.920251
15209,37.926376
15210,37.929537
15211,37.930339
15212,37.930906
15213,37.93206
15214,37.934936
15215,37.936662
15216,37.939589
15217,37.944787
15218,37.945054
15219,37.946793
15220,37.949575
15221,37.950437
15222,37.960825
15223,37.963607
15224,37.964395
15225,37.964889
15226,37.973509
15227,37.976565
15228,37.977772
15229,37.978924
15230,37.979035
15231,37.983124
15232,37.984735
15233,37.988386
15234,37.989575
15235,37.991105
15236,37.992208
15237,37.9923
15238,37.992593
15239,37.993194
15240,37.994995
15241,37.999365
15242,38.000441
15243,38.000722
15244,38.001998
15245,38.002009
15246,38.002771
15247,38.003245
15248,38.008163
15249,38.011057
15250,38.011064
15251,38.011789
15252,38.012311
15253,38.012754
15254,38.01333
15255,38.013844
15256,38.018809
15257,38.019742
15258,38.021087
15259,38.021157
15260,38.024278
15261,38.027403
15262,38.028041
15263,38.032914
15264,38.033015
15265,38.036322
15266,38.041514
15267,38.045781
15268,38.05008
15269,38.059972
15270,38.061851
15271,38.062914
15272,38.063603
15273,38.063703
15274,38.065016
15275,38.065028
15276,38.067664
15277,38.069813
15278,38.073383
15279,38.074059
15280,38.078535
15281,38.079496
15282,38.090562
15283,38.093467
15284,38.093534
15285,38.093634
15286,38.094338
15287,38.094686
15288,38.09529
15289,38.096001
15290,38.100777
15291,38.100924
15292,38.103122
15293,38.106998
15294,38.107197
15295,38.107346
15296,38.110478
15297,38.111761
15298,38.113994
15299,38.117042
15300,38.117365
15301,38.118712
15302,38.124829
15303,38.125848
15304,38.131522
15305,38.133074
15306,38.13367
15307,38.147546
15308,38.150374
15309,38.162824
15310,38.166409
15311,38.16648
15312,38.167344
15313,38.168202
15314,38.170121
15315,38.173035
15316,38.176303
15317,38.177811
15318,38.183366
15319,38.184465
15320,38.184993
15321,38.195058
15322,38.196721
15323,38.198337
15324,38.198416
15325,38.202317
15326,38.204216
15327,38.205246
15328,38.219221
15329,38.221485
15330,38.222778
15331,38.227203
15332,38.233905
15333,38.23423
15334,38.245601
15335,38.255976
15336,38.26264
15337,38.263004
15338,38.264729
15339,38.266316
15340,38.267102
15341,38.267742
15342,38.267986
15343,38.269343
15344,38.270566
15345,38.271657
15346,38.289948
15347,38.291295
15348,38.294503
15349,38.2969
15350,38.297834
15351,38.304325
15352,38.304404
15353,38.306256
15354,38.309083
15355,38.31505
15356,38.315976
15357,38.318679
15358,38.325201
15359,38.325273
15360,38.332421
15361,38.332568
15362,38.332903
15363,38.341542
15364,38.342149
15365,38.345779
15366,38.354618
15367,38.360324
15368,38.360678
15369,38.360932
15370,38.361939
15371,38.363809
15372,38.365255
15373,38.368823
15374,38.378772
15375,38.382031
15376,38.386771
15377,38.386774
15378,38.392418
15379,38.394318
15380,38.396346
15381,38.396931
15382,38.405253
15383,38.410564
15384,38.412643
15385,38.416322
15386,38.420387
15387,38.420797
15388,38.424982
15389,38.428495
15390,38.429996
15391,38.432613
15392,38.432616
15393,38.439793
15394,38.439974
15395,38.442633
15396,38.44843
15397,38.451769
15398,38.455578
15399,38.455904
15400,38.462067
15401,38.464955
15402,38.46612
15403,38.469748
15404,38.469927
15405,38.473799
15406,38.474906
15407,38.47493
15408,38.47695
15409,38.479489
15410,38.481425
15411,38.481536
15412,38.484996
15413,38.485666
15414,38.487499
15415,38.489033
15416,38.491386
15417,38.492201
15418,38.492271
15419,38.492978
15420,38.493451
