req_idx,send_time,latency_ms
559,1773440930.658175,30290.222
560,1773440930.682211,30279.039
561,1773440930.690385,30261.432
562,1773440930.700614,27344.622
563,1773440930.758094,25575.634
564,1773440930.777355,30462.104
565,1773440930.782659,27669.919
566,1773440930.799127,27108.193
567,1773440930.854915,26369.138
568,1773440930.876506,30551.932
569,1773440930.918017,30763.347
570,1773440930.975071,30612.880
571,1773440930.979318,30611.783
572,1773440930.997492,28324.909
573,1773440931.047748,30886.873
574,1773440931.158789,30871.530
575,1773440931.176133,30840.735
576,1773440931.196056,30782.471
577,1773440931.286975,30869.443
578,1773440931.293258,30845.431
579,1773440931.306164,30837.303
580,1773440931.385200,30827.123
581,1773440931.424332,30769.659
582,1773440931.466851,30750.435
583,1773440931.473127,30965.771
584,1773440931.524704,30910.088
585,1773440931.591920,30847.008
586,1773440931.603669,31018.521
587,1773440931.625817,31014.294
588,1773440931.702262,30996.135
589,1773440931.740943,29621.693
590,1773440931.772781,26904.295
591,1773440931.805302,31304.152
592,1773440931.823914,31284.250
593,1773440931.836056,31193.382
594,1773440931.847908,31187.153
595,1773440931.928286,31300.390
596,1773440931.939732,31413.930
597,1773440931.955471,31407.676
598,1773440931.965697,31356.276
599,1773440931.978189,31289.148
600,1773440932.085040,31277.417
601,1773440932.125921,28851.930
602,1773440932.152982,31485.943
603,1773440932.172194,31409.589
604,1773440932.175621,31587.183
605,1773440932.227828,31555.409
606,1773440932.236351,31522.903
607,1773440932.251804,31504.330
608,1773440932.272220,31492.233
609,1773440932.278605,31729.583
610,1773440932.279873,31649.228
611,1773440932.374667,31637.830
612,1773440932.383000,31622.148
613,1773440932.448123,31761.638
614,1773440932.451455,31654.808
615,1773440932.468055,27410.136
616,1773440932.508710,31833.613
617,1773440932.522408,31814.467
618,1773440932.561560,31811.078
619,1773440932.567819,31758.942
620,1773440932.631386,31949.291
621,1773440932.637609,31933.924
622,1773440932.639797,31913.523
623,1773440932.639991,31907.171
624,1773440932.645177,31905.929
625,1773440932.729617,29557.038
626,1773440932.756565,29529.693
627,1773440932.790058,28928.781
628,1773440932.812653,32148.759
629,1773440932.820829,32140.487
630,1773440932.823047,32075.378
631,1773440932.859985,32072.177
632,1773440933.001709,32014.976
633,1773440933.033657,32001.293
634,1773440933.038997,28570.067
635,1773440933.039018,32919.058
636,1773440933.065746,32855.512
637,1773440933.069046,32849.344
638,1773440933.102404,32847.207
639,1773440933.155486,33079.034
640,1773440933.175228,31358.159
641,1773440933.178511,33284.849
642,1773440933.212048,33251.421
643,1773440933.315781,33228.843
644,1773440933.321138,33518.503
645,1773440933.357963,33486.617
646,1773440933.374151,33481.290
647,1773440933.380383,33481.299
648,1773440933.382601,33454.600
649,1773440933.413129,33451.334
650,1773440933.439707,33418.023
651,1773440933.473084,33364.983
652,1773440933.513548,29485.072
653,1773440933.525835,33585.634
654,1773440933.530099,33582.374
655,1773440933.564698,33548.885
656,1773440933.589525,32400.882
657,1773440933.628503,33735.938
658,1773440933.645751,33730.783
659,1773440933.653235,33693.987
660,1773440933.721686,33677.815
661,1773440933.727165,33930.152
662,1773440933.745602,33897.460
663,1773440933.756110,33870.920
664,1773440934.001431,33797.231
665,1773440934.029171,33784.962
666,1773440934.047677,33780.762
667,1773440934.089074,33902.198
668,1773440934.121710,33877.391
669,1773440934.183539,33838.461
670,1773440934.263691,33821.263
671,1773440934.267917,34028.154
672,1773440934.315565,29747.097
673,1773440934.360101,34188.315
674,1773440934.450562,34182.899
675,1773440934.496050,34164.477
676,1773440934.583173,34154.002
677,1773440934.588598,32014.580
678,1773440934.601149,34459.256
679,1773440934.628806,34413.031
680,1773440934.629004,34678.538
681,1773440934.656212,34584.098
682,1773440934.708540,32414.431
683,1773440934.726624,31867.310
684,1773440934.736844,31369.602
685,1773440934.743093,34750.116
686,1773440934.797348,34746.017
687,1773440934.819019,32697.661
688,1773440934.820208,34931.240
689,1773440934.829709,33405.239
690,1773440934.843359,35237.005
691,1773440934.865045,31094.519
692,1773440934.905852,35354.102
693,1773440934.914376,35348.740
694,1773440934.959966,35336.207
695,1773440935.015467,35419.640
696,1773440935.138381,35586.938
697,1773440935.216880,35576.738
698,1773440935.257171,35570.526
699,1773440935.283771,35516.316
700,1773440935.308555,35494.681
701,1773440935.357458,35493.526
702,1773440935.402494,35708.825
703,1773440935.412684,35695.218
704,1773440935.496798,35673.634
705,1773440935.512994,35632.839
706,1773440935.577813,35624.327
707,1773440935.613430,35578.751
708,1773440935.636200,35523.268
709,1773440935.654682,34456.990
710,1773440935.670937,35648.977
711,1773440935.692131,35746.176
712,1773440935.724618,35679.307
713,1773440935.756670,35654.568
714,1773440935.825246,33615.453
715,1773440935.895563,35813.743
716,1773440935.897752,35803.590
717,1773440935.921636,35963.563
718,1773440935.953672,35947.435
719,1773440935.990263,36159.050
720,1773440936.058281,36123.452
721,1773440936.062516,36100.721
722,1773440936.072168,36322.613
723,1773440936.081795,36306.379
724,1773440936.109586,36285.228
725,1773440936.111813,34048.639
726,1773440936.126108,33948.267
727,1773440936.185180,33431.142
728,1773440936.260829,32812.680
729,1773440936.316359,36574.298
730,1773440936.329757,36542.280
731,1773440936.353253,36708.864
732,1773440936.397639,34853.823
733,1773440936.418846,36840.645
734,1773440936.460332,36816.786
735,1773440936.508275,36909.610
736,1773440936.535966,36841.616
737,1773440936.556514,36837.450
738,1773440936.557739,36827.817
739,1773440936.598574,32536.444
740,1773440936.611444,37004.530
741,1773440936.628116,36990.253
742,1773440936.658621,37168.845
743,1773440936.680864,37093.219
744,1773440936.704362,37119.739
745,1773440936.778006,37098.561
746,1773440936.814909,37057.126
747,1773440936.893192,37009.198
748,1773440936.900422,35866.894
749,1773440936.915678,37213.271
750,1773440936.954195,37192.749
751,1773440937.035441,37191.582
752,1773440937.045869,37150.765
753,1773440937.047130,37137.957
754,1773440937.078677,37320.115
755,1773440937.084279,37289.637
756,1773440937.119710,37267.413
757,1773440937.130045,37243.991
758,1773440937.175479,34943.050
759,1773440937.182906,32655.977
760,1773440937.198923,37420.578
761,1773440937.221156,37383.917
762,1773440937.299174,37564.825
763,1773440937.309667,37542.361
764,1773440937.319873,37503.864
765,1773440937.347790,37637.091
766,1773440937.348985,37635.851
767,1773440937.368624,34559.256
768,1773440937.398146,33834.128
769,1773440937.463862,37777.780
770,1773440937.486531,37772.197
771,1773440937.491744,37736.811
772,1773440937.534080,37726.527
773,1773440937.650615,35146.798
774,1773440937.680312,37919.619
775,1773440937.706096,37912.224
776,1773440937.755520,35418.175
777,1773440937.850069,38157.164
778,1773440937.875041,38134.964
779,1773440937.928773,38237.338
780,1773440937.934314,38226.871
781,1773440938.029163,38216.722
782,1773440938.063987,38187.673
783,1773440938.064575,36266.552
784,1773440938.065861,38367.422
785,1773440938.138107,38272.211
786,1773440938.146413,38249.602
787,1773440938.251143,38244.403
788,1773440938.269603,38202.129
789,1773440938.275099,38244.928
790,1773440938.278518,33825.867
791,1773440938.361190,38429.454
792,1773440938.364401,38566.576
793,1773440938.405094,38541.629
794,1773440938.462133,38593.593
795,1773440938.483818,38593.033
796,1773440938.494237,38591.800
797,1773440938.531115,38519.620
798,1773440938.546333,38511.332
799,1773440938.581875,37398.420
800,1773440938.611913,38665.428
801,1773440938.638678,38646.994
802,1773440938.658207,38641.548
803,1773440938.659663,38638.176
804,1773440938.702733,36148.878
805,1773440938.806330,38807.418
806,1773440938.851624,38804.232
807,1773440938.870996,38763.598
808,1773440938.886390,34210.171
809,1773440938.891633,38971.622
810,1773440938.905189,38949.965
811,1773440938.915444,38939.565
812,1773440938.933968,38902.740
813,1773440938.946455,39077.706
814,1773440938.950710,39047.693
815,1773440939.005387,39001.453
816,1773440939.013681,39172.483
817,1773440939.051658,39129.441
818,1773440939.164813,36581.791
819,1773440939.174374,36536.237
820,1773440939.208299,39261.024
821,1773440939.213575,36017.199
822,1773440939.228822,35410.300
823,1773440939.259341,39405.879
824,1773440939.270122,39386.531
825,1773440939.353853,39371.163
826,1773440939.439216,39365.964
827,1773440939.473436,39593.169
828,1773440939.649712,39582.937
829,1773440939.676976,39564.459
830,1773440939.682266,39552.043
831,1773440939.709791,39547.805
832,1773440939.730314,39484.850
833,1773440939.733593,39722.245
834,1773440939.773757,37609.467
835,1773440939.775994,35153.736
836,1773440939.781387,40038.730
837,1773440939.791597,40004.831
838,1773440939.821672,39999.570
839,1773440939.857575,39984.368
840,1773440939.876742,40099.106
841,1773440939.904716,40013.780
842,1773440939.966089,40229.612
843,1773440939.979541,40053.364
844,1773440939.989767,40020.865
845,1773440940.107623,39972.892
846,1773440940.108039,39969.629
847,1773440940.112390,39929.482
848,1773440940.123744,39927.299
849,1773440940.207345,40160.685
850,1773440940.242305,40150.502
851,1773440940.363606,40120.500
852,1773440940.374056,40084.612
853,1773440940.436140,40065.495
854,1773440940.466856,40037.536
855,1773440940.511531,39976.215
856,1773440940.524976,38800.567
857,1773440940.650576,40217.037
858,1773440940.651814,40206.835
859,1773440940.664126,40089.045
860,1773440940.683111,40088.646
861,1773440940.688314,40344.010
862,1773440940.717113,37857.457
863,1773440940.729550,35773.607
864,1773440940.742038,40440.819
865,1773440940.767833,40405.885
866,1773440940.776117,40453.635
867,1773440940.787549,40582.996
868,1773440940.848915,40552.310
869,1773440940.850348,40507.658
870,1773440940.888995,40494.263
871,1773440940.976708,37996.361
872,1773440941.032053,37463.277
873,1773440941.141754,40633.409
874,1773440941.164466,40632.194
875,1773440941.187190,40619.937
876,1773440941.206855,38373.073
877,1773440941.217089,36992.273
878,1773440941.222349,40817.849
879,1773440941.250435,40812.677
880,1773440941.292562,40783.929
881,1773440941.296042,40771.552
882,1773440941.319898,40759.080
883,1773440941.468374,40725.018
884,1773440941.499063,40713.624
885,1773440941.539835,40912.768
886,1773440941.540025,39006.275
