run_idx,req_idx,latency_ms,backbone_ms,decoder_ms,swap_ms,gpu_peak_mb
1,95,30.0031,29.4917,0.2786,0.0024,339.95
1,96,29.4945,28.9726,0.2849,0.0026,339.95
1,97,29.5991,29.0713,0.3009,0.0026,339.95
1,98,29.6138,29.1035,0.2802,0.0028,339.95
1,99,29.1392,28.6194,0.2912,0.0025,339.95
1,100,29.7192,29.1909,0.2889,0.0025,339.95
1,101,29.4068,28.5733,0.6118,0.0026,339.95
1,102,29.6167,29.092,0.2933,0.0022,339.95
1,103,29.2172,28.7172,0.2744,0.0027,339.95
1,104,29.475,28.9524,0.289,0.0027,339.95
1,105,29.7036,29.1761,0.2935,0.0026,339.95
1,106,29.1114,28.6074,0.2821,0.0023,339.95
1,107,29.632,29.0988,0.2913,0.0031,339.95
1,108,28.9806,28.465,0.2795,0.0025,339.95
1,109,29.5704,29.0518,0.2856,0.0022,339.95
1,110,29.1027,28.5647,0.3055,0.0029,339.95
1,111,29.3038,28.7618,0.2885,0.0023,339.95
1,112,29.7818,28.9032,0.2811,0.0026,339.95
1,113,29.2938,28.7598,0.2958,0.002,339.95
1,114,29.8311,29.3269,0.2857,0.0026,339.95
1,115,29.1706,28.6165,0.3235,0.0029,339.95
1,116,29.6321,29.1079,0.2841,0.0025,339.95
1,117,29.2778,28.7764,0.2782,0.0027,339.95
1,118,29.598,29.0643,0.2996,0.0026,339.95
1,119,29.863,29.3503,0.2887,0.0026,339.95
1,120,29.401,28.8828,0.2856,0.003,339.95
1,121,29.8106,29.2482,0.3243,0.0023,339.95
1,122,29.4001,28.5268,0.6555,0.0027,339.95
1,123,29.541,29.0219,0.2925,0.0029,339.95
1,124,29.3833,28.863,0.2874,0.0024,339.95
1,125,29.5122,29.0085,0.2809,0.0027,339.95
1,126,30.1362,29.4314,0.3694,0.0056,339.95
1,127,29.2214,28.7154,0.2762,0.0024,339.95
1,128,29.6608,29.1421,0.2836,0.0026,339.95
1,129,29.1246,28.59,0.3018,0.0026,339.95
1,130,29.5345,29.0116,0.2933,0.0032,339.95
1,131,29.9901,29.4361,0.3101,0.003,339.95
1,132,29.3248,28.755,0.2914,0.0021,339.95
1,133,29.9551,29.0923,0.2752,0.0025,339.95
1,134,29.0207,28.4831,0.3047,0.0026,339.95
1,135,29.2071,28.6955,0.2803,0.0022,339.95
1,136,29.776,29.245,0.2927,0.0027,339.95
1,137,29.3787,28.8322,0.3076,0.0023,339.95
1,138,29.8845,29.3673,0.2866,0.0027,339.95
1,139,29.132,28.6004,0.2995,0.0032,339.95
1,140,29.6216,29.1017,0.282,0.0024,339.95
1,141,29.2907,28.7758,0.2909,0.0024,339.95
1,142,29.5067,28.9251,0.3252,0.0027,339.95
1,143,30.257,29.3812,0.6426,0.0021,339.95
1,144,29.4188,28.9081,0.2821,0.0022,339.95
1,145,29.7602,29.2352,0.2943,0.0024,339.95
1,146,28.9793,28.4665,0.284,0.0023,339.95
1,147,29.5689,29.0339,0.3052,0.0026,339.95
1,148,29.0624,28.547,0.2795,0.002,339.95
1,149,29.2725,28.7684,0.2792,0.0027,339.95
1,150,29.8447,29.298,0.3043,0.0027,339.95
1,151,29.3963,28.8867,0.2786,0.0025,339.95
