task,send_time_s,latency_ms
gestureclass,8.8663,1585.028
gestureclass,8.8742,1621.897
gestureclass,8.8755,1620.660
gestureclass,8.9170,1666.321
gestureclass,8.9316,1693.757
gestureclass,8.9339,1691.475
gestureclass,8.9362,1689.232
gestureclass,8.9506,1718.286
gestureclass,8.9807,1733.385
gestureclass,8.9808,1733.302
gestureclass,8.9832,1775.637
gestureclass,8.9845,1774.349
gestureclass,8.9888,1770.110
gestureclass,9.0079,1795.074
gestureclass,9.0092,1793.854
gestureclass,9.0475,1798.957
gestureclass,9.0976,1792.126
gestureclass,9.1979,1779.628
gestureclass,9.1980,1779.563
gestureclass,9.2023,1775.213
gestureclass,9.2167,1805.408
gestureclass,9.2180,1804.069
gestureclass,9.3004,1765.631
gestureclass,9.3677,1698.367
gestureclass,9.3814,1728.600
gestureclass,9.4216,1688.416
gestureclass,9.4627,1691.156
gestureclass,9.4781,1675.790
gestureclass,9.4874,1710.522
gestureclass,9.5277,1714.907
gestureclass,9.5401,1702.511
gestureclass,9.5909,1696.627
gestureclass,9.6095,1721.766
gestureclass,9.6231,1708.253
gestureclass,9.6337,1741.360
gestureclass,9.6403,1734.804
gestureclass,9.6445,1774.097
gestureclass,9.6446,1774.064
gestureclass,9.6509,1767.822
gestureclass,9.6511,1813.283
gestureclass,9.6563,1808.056
gestureclass,9.7232,1829.826
gestureclass,9.7725,1823.922
gestureclass,9.8199,1819.726
gestureclass,9.8282,1811.415
gestureclass,9.8895,1838.660
gestureclass,9.9112,1816.940
gestureclass,9.9114,1861.389
gestureclass,9.9167,1856.128
gestureclass,9.9390,1877.691
gestureclass,9.9423,1874.359
gestureclass,9.9446,1872.111
gestureclass,9.9732,1887.319
gestureclass,9.9733,1929.874
gestureclass,9.9759,1927.294
