task,t_center,arrival_rps,served_rps,arr_count,srv_count
nyudepth,108.5,7.0,5.0,7.0,5.0
nyudepth,109.5,6.0,8.0,6.0,8.0
nyudepth,110.5,6.0,6.0,6.0,6.0
nyudepth,111.5,7.0,7.0,7.0,7.0
nyudepth,112.5,4.0,4.0,4.0,4.0
nyudepth,113.5,3.0,3.0,3.0,3.0
nyudepth,114.5,3.0,3.0,3.0,3.0
nyudepth,115.5,6.0,6.0,6.0,6.0
nyudepth,116.5,2.0,2.0,2.0,2.0
nyudepth,117.5,3.0,3.0,3.0,3.0
nyudepth,118.5,6.0,5.0,6.0,5.0
nyudepth,119.5,3.0,4.0,3.0,4.0
trafficfore,0.5,5.0,5.0,5.0,5.0
trafficfore,1.5,5.0,5.0,5.0,5.0
trafficfore,2.5,3.0,3.0,3.0,3.0
trafficfore,3.5,5.0,5.0,5.0,5.0
trafficfore,4.5,10.0,10.0,10.0,10.0
trafficfore,5.5,9.0,9.0,9.0,9.0
trafficfore,6.5,3.0,3.0,3.0,3.0
trafficfore,7.5,7.0,7.0,7.0,7.0
trafficfore,8.5,4.0,4.0,4.0,4.0
trafficfore,9.5,3.0,3.0,3.0,3.0
trafficfore,10.5,8.0,7.0,8.0,7.0
trafficfore,11.5,5.0,6.0,5.0,6.0
trafficfore,12.5,4.0,4.0,4.0,4.0
trafficfore,13.5,6.0,6.0,6.0,6.0
trafficfore,14.5,5.0,5.0,5.0,5.0
trafficfore,15.5,3.0,3.0,3.0,3.0
trafficfore,16.5,2.0,1.0,2.0,1.0
trafficfore,17.5,3.0,4.0,3.0,4.0
trafficfore,18.5,5.0,5.0,5.0,5.0
trafficfore,19.5,4.0,4.0,4.0,4.0
trafficfore,20.5,5.0,5.0,5.0,5.0
trafficfore,21.5,1.0,0.0,1.0,0.0
trafficfore,22.5,7.0,6.0,7.0,6.0
trafficfore,23.5,5.0,7.0,5.0,7.0
trafficfore,24.5,3.0,3.0,3.0,3.0
trafficfore,25.5,5.0,5.0,5.0,5.0
trafficfore,26.5,6.0,6.0,6.0,6.0
trafficfore,27.5,5.0,5.0,5.0,5.0
trafficfore,28.5,6.0,4.0,6.0,4.0
trafficfore,29.5,6.0,8.0,6.0,8.0
trafficfore,30.5,64.0,34.0,64.0,34.0
trafficfore,31.5,56.0,42.0,56.0,42.0
trafficfore,32.5,41.0,39.0,41.0,39.0
trafficfore,33.5,61.0,37.0,61.0,37.0
trafficfore,34.5,51.0,39.0,51.0,39.0
trafficfore,35.5,46.0,38.0,46.0,38.0
trafficfore,36.5,36.0,37.0,36.0,37.0
trafficfore,37.5,39.0,39.0,39.0,39.0
trafficfore,38.5,48.0,36.0,48.0,36.0
trafficfore,39.5,48.0,39.0,48.0,39.0
trafficfore,40.5,49.0,42.0,49.0,42.0
trafficfore,41.5,47.0,40.0,47.0,40.0
trafficfore,42.5,37.0,40.0,37.0,40.0
trafficfore,43.5,38.0,37.0,38.0,37.0
trafficfore,44.5,44.0,38.0,44.0,38.0
trafficfore,45.5,43.0,40.0,43.0,40.0
trafficfore,46.5,37.0,38.0,37.0,38.0
trafficfore,47.5,47.0,40.0,47.0,40.0
trafficfore,48.5,57.0,35.0,57.0,35.0
trafficfore,49.5,52.0,38.0,52.0,38.0
trafficfore,50.5,61.0,54.0,61.0,54.0
trafficfore,51.5,47.0,62.0,47.0,62.0
trafficfore,52.5,40.0,71.0,40.0,71.0
trafficfore,53.5,62.0,65.0,62.0,65.0
trafficfore,54.5,55.0,63.0,55.0,63.0
trafficfore,55.5,54.0,68.0,54.0,68.0
trafficfore,56.5,41.0,55.0,41.0,55.0
trafficfore,57.5,47.0,59.0,47.0,59.0
trafficfore,58.5,55.0,68.0,55.0,68.0
trafficfore,59.5,54.0,64.0,54.0,64.0
trafficfore,60.5,48.0,63.0,48.0,63.0
trafficfore,61.5,47.0,52.0,47.0,52.0
trafficfore,62.5,54.0,67.0,54.0,67.0
trafficfore,63.5,49.0,68.0,49.0,68.0
trafficfore,64.5,45.0,48.0,45.0,48.0
trafficfore,65.5,35.0,39.0,35.0,39.0
trafficfore,66.5,57.0,45.0,57.0,45.0
trafficfore,67.5,42.0,47.0,42.0,47.0
trafficfore,68.5,50.0,48.0,50.0,48.0
trafficfore,69.5,50.0,52.0,50.0,52.0
trafficfore,70.5,47.0,54.0,47.0,54.0
trafficfore,71.5,42.0,41.0,42.0,41.0
trafficfore,72.5,53.0,47.0,53.0,47.0
trafficfore,73.5,50.0,49.0,50.0,49.0
trafficfore,74.5,52.0,51.0,52.0,51.0
trafficfore,75.5,64.0,59.0,64.0,59.0
trafficfore,76.5,51.0,60.0,51.0,60.0
trafficfore,77.5,45.0,49.0,45.0,49.0
trafficfore,78.5,39.0,35.0,39.0,35.0
trafficfore,79.5,40.0,44.0,40.0,44.0
trafficfore,80.5,54.0,50.0,54.0,50.0
trafficfore,81.5,35.0,36.0,35.0,36.0
trafficfore,82.5,53.0,47.0,53.0,47.0
trafficfore,83.5,55.0,58.0,55.0,58.0
trafficfore,84.5,51.0,47.0,51.0,47.0
trafficfore,85.5,56.0,60.0,56.0,60.0
trafficfore,86.5,54.0,50.0,54.0,50.0
trafficfore,87.5,51.0,58.0,51.0,58.0
trafficfore,88.5,57.0,52.0,57.0,52.0
trafficfore,89.5,36.0,40.0,36.0,40.0
trafficfore,90.5,54.0,55.0,54.0,55.0
trafficfore,91.5,50.0,50.0,50.0,50.0
trafficfore,92.5,41.0,42.0,41.0,42.0
trafficfore,93.5,42.0,41.0,42.0,41.0
