batch_start_ns,observed_batch_size,send_time_rel_first
1775274788638416672,6,24.995308
1775274788687250820,6,25.026219
1775274788738560991,6,25.080118
1775274788793805766,7,25.097749
1775274788844388125,6,25.148336
1775274788890205245,5,25.171569
1775274788941274118,6,25.19217
1775274788978478846,5,25.203835
1775274789029822057,6,25.219552
1775274789074163113,6,25.264527
1775274789123862397,6,25.302436
1775274789167191023,6,25.342636
1775274789211116438,4,25.359332
1775274789261984105,6,25.376849
1775274789313103970,6,25.395358
1775274789360533337,6,25.449267
1775274789407792088,5,25.466742
1775274789455413061,7,25.474884
1775274789513394776,7,25.504729
1775274789551216642,5,25.517791
1775274789594057085,5,25.553219
1775274789631136159,3,25.598576
1775274789675889177,4,25.637815
1775274789730610947,6,25.645746
1775274789781688301,6,25.675643
1775274789824951056,4,25.709905
1775274789880871831,7,25.723221
1775274789924359803,5,25.749921
1775274789980354250,7,25.789515
1775274790033000399,5,25.861323
1775274790074562524,6,25.885179
1775274790130414757,6,25.923155
1775274790167372128,5,25.95198
1775274790217210845,5,25.973798
1775274790269170114,7,26.031077
1775274790315066627,6,26.070805
1775274790372888787,6,26.090928
1775274790423804966,6,26.116046
1775274790473304213,6,26.126824
1775274790520065040,6,26.157121
1775274790563830500,4,26.189076
1775274790614040688,6,26.210292
1775274790664050730,6,26.232757
1775274790705455951,5,26.279885
1775274790750427606,4,26.310498
1775274790793235588,5,26.325655
1775274790847981948,5,26.341913
1775274790897342652,6,26.354331
1775274790941319838,6,26.362014
1775274790988892948,4,26.372379
1775274791041519117,7,26.389909
1775274791084277578,6,26.410502
1775274791122371871,5,26.426967
1775274791166806840,6,26.434465
1775274791223266331,5,26.466732
1775274791270637756,6,26.511073
1775274791321098602,6,26.538468
1775274791362918585,6,26.564145
1775274791411377222,6,26.584331
1775274791459949352,6,26.609112
1775274791509947544,6,26.62545
1775274791555141705,6,26.652185
1775274791605353943,5,26.661503
1775274791653037437,6,26.703109
1775274791703419561,6,26.730047
1775274791750829197,6,26.760204
1775274791803191488,7,26.793169
1775274791854318643,6,26.840978
1775274791903972385,6,26.860837
1775274791953764210,6,26.891886
1775274791999641402,6,26.902211
1775274792051955361,4,26.913984
1775274792107681011,7,26.947554
1775274792151516332,4,26.974614
1775274792199473945,5,26.994319
1775274792251790664,6,27.023491
1775274792302571859,6,27.038001
1775274792353553530,6,27.060129
1775274792408309781,7,27.085919
1775274792456989984,6,27.11036
1775274792514005611,7,27.129161
1775274792558154202,6,27.183006
1775274792607467424,6,27.193535
1775274792657375033,6,27.228095
1775274792707880770,6,27.262656
1775274792759908912,6,27.326201
1775274792802218938,6,27.378337
1775274792844341140,5,27.406097
1775274792890575412,9,27.432549
1775274792932498548,6,27.484551
1775274792987668931,8,27.53002
1775274793036166209,6,27.555911
1775274793076919321,7,27.587002
1775274793125652495,6,27.602437
1775274793178267084,6,27.629223
1775274793225003830,6,27.719038
1775274793270437919,6,27.746627
1775274793315197538,6,27.757556
1775274793366524198,5,27.794124
1775274793414620075,6,27.811545
1775274793470412706,6,27.833029
1775274793519325956,6,27.855091
1775274793570651167,6,27.876653
1775274793626377516,7,27.914633
1775274793670374993,5,27.949515
1775274793718949703,6,27.972989
1775274793773222070,6,27.989411
1775274793823030706,6,28.011067
1775274793872893544,6,28.043743
1775274793916866480,6,28.080214
1775274793972315331,6,28.118428
1775274794016386240,6,28.146755
1775274794071565093,5,28.169773
1775274794124494911,6,28.189418
1775274794173111792,6,28.210956
1775274794226045100,6,28.257928
1775274794276138805,6,28.289054
1775274794326151517,5,28.329076
1775274794380049493,7,28.345255
1775274794429804828,6,28.366241
1775274794477220764,7,28.386994
1775274794531068819,6,28.435129
1775274794577001282,7,28.456403
1775274794621057130,6,28.491851
1775274794664609473,3,28.512378
1775274794714466911,6,28.524555
1775274794760852927,6,28.55826
1775274794811642172,5,28.597211
1775274794867947738,7,28.615886
1775274794918397253,5,28.672242
1775274794962687488,5,28.689258
1775274795009954101,6,28.705539
1775274795059731526,5,28.74976
1775274795110756598,6,28.77037
1775274795155134006,6,28.788212
1775274795203051247,4,28.808617
1775274795246003923,6,28.819404
1775274795283695185,5,28.855249
1775274795326369182,4,28.868417
1775274795379764223,5,28.90097
1775274795427834339,6,28.916644
1775274795483993211,8,28.932799
1775274795534122487,7,28.985128
1775274795580719779,6,29.021311
1775274795632008719,6,29.053452
1775274795681351602,5,29.08042
1775274795735631919,8,29.090512
1775274795788329650,6,29.118565
1775274795840004311,6,29.141482
1775274795875874249,6,29.199582
1775274795918203477,6,29.228726
1775274795960268807,5,29.281519
1775274796009725943,4,29.29951
1775274796046481268,5,29.334871
1775274796094969546,6,29.38037
1775274796144749411,6,29.404224
1775274796193736223,6,29.424754
1775274796239572334,5,29.46041
1775274796289503454,3,29.477588
1775274796338763974,6,29.492712
1775274796388153018,6,29.527106
1775274796440067026,7,29.570632
1775274796489007547,6,29.591488
1775274796536231178,6,29.65632
1775274796578559025,6,29.694256
1775274796609297504,2,29.720437
1775274796655580297,4,29.728102
1775274796695210176,6,29.734165
1775274796738919684,4,29.804408
1775274796783639292,6,29.81843
1775274796839617198,6,29.858318
1775274796881905855,7,29.882314
1775274796932143524,7,29.911806
1775274796985858324,6,29.92838
1775274797026906955,6,29.948582
1775274797079338877,5,29.990444
1775274797129097883,7,30.027341
1775274797170666988,6,30.072424
1775274797223152062,5,30.097536
1775274797280667504,6,30.109571
1775274797324106234,6,30.159875
1775274797368487792,5,30.192889
1775274797413490248,6,30.215201
1775274797462129540,7,30.246686
1775274797507341832,6,30.294832
1775274797549316009,6,30.314529
1775274797596457318,4,30.355452
