backbone,decoder,encoder,adapter,dataset_name,device,task_name,metric,result,backbone memory(MB),decoder memory(MB),train time(ms),train mem peak(MB),train energy(mJ),inference time(ms),inference mem peak(MB),inference energy(mJ)
chronostiny,mlp,,,PPG-data,NVIDIA A2,heartrate,mae,7.961303338771913,16.789504,0.13260799999999762,5256.98681640625,1399.789056,1360.52,16.93251412089278,51.17076604878049,0.16282926829268293
chronosmini,mlp,,,PPG-data,NVIDIA A2,heartrate,mae,8.055484120438738,40.918016,0.1981439999999992,11815.8984375,2751.832064,2817.282,22.15969094997499,94.3687055609756,1.166219512195122
chronossmall,mlp,,,PPG-data,NVIDIA A2,heartrate,mae,8.029380798339844,92.30848,0.2636799999999937,18787.30078125,2841.2416,4657.796,33.84823408359435,94.30469307317071,1.6256097560975609
chronosbase,mlp,,,PPG-data,NVIDIA A2,heartrate,mae,7.733091214808022,420.18304,0.3947519999999827,46323.2109375,4530.082304,14013.893,86.94936147550257,137.32905209756103,4.395292682926829
chronoslarge,mlp,,,PPG-data,NVIDIA A2,heartrate,mae,7.7711075573432735,1417.926656,0.5258239999998295,114613.578125,6894.023168,39435.847,242.8430920112424,181.1306271219512,14.062487804878048
papageis,mlp,,,PPG-data,NVIDIA A2,heartrate,mae,26.460592130335368,23.242752,0.2636800000000008,3607.511962890625,641.048576,531.233,27.79815334227027,45.27719648780487,0.5670243902439024
papageip,mlp,,,PPG-data,NVIDIA A2,heartrate,mae,25.248394710261646,20.068352,0.2636800000000008,3518.488525390625,637.874176,515.321,24.94775702313679,45.27668448780487,0.7567317073170732
papageissvri,mlp,,,PPG-data,NVIDIA A2,heartrate,mae,21.919004207704127,20.068352,0.2636800000000008,3501.0078125,637.874176,519.284,24.629968875791967,45.27668448780487,0.7553170731707317
momentlarge,mlp,,,ecg5000,NVIDIA A2,ecgclass,accuracy,0.9315555555555556,1461.95456,0.5278720000001158,70195.5078125,1600.961536,23042.562,38.369429719713,12.726271886222094,2.333499333333333
momentsmall,mlp,,,ecg5000,NVIDIA A2,ecgclass,accuracy,0.9257777777777778,151.835648,0.26572799999999575,8231.6826171875,228.714496,1935.899,12.419925611495971,10.203135886222213,0.011982888888888888
momentbase,mlp,,,ecg5000,NVIDIA A2,ecgclass,accuracy,0.9282222222222222,455.474688,0.3967999999999847,22965.556640625,579.252736,6552.974,17.026879812452528,11.61215988622223,0.9770284444444444
chronostiny,mlp,,,ecg5000,NVIDIA A2,ecgclass,accuracy,0.824,16.789504,0.13465599999999966,10485.720703125,489.074176,2098.356,9.28601906077067,24.855039886222222,0.07635133333333333
chronosmini,mlp,,,ecg5000,NVIDIA A2,ecgclass,accuracy,0.8595555555555555,40.918016,0.20019200000000126,16343.427734375,957.543936,3748.356,8.687926197157966,37.44051188622223,0.401548
chronossmall,mlp,,,ecg5000,NVIDIA A2,ecgclass,accuracy,0.8577777777777778,92.30848,0.26572799999999575,30665.904296875,1021.738496,6716.178,12.740361854341295,36.95001588622222,0.6577911111111111
chronosbase,mlp,,,ecg5000,NVIDIA A2,ecgclass,accuracy,0.8782222222222222,420.18304,0.3967999999999847,68106.65625,1801.910784,19580.748,32.569290512932675,51.158015886222245,1.2822962222222223
chronoslarge,mlp,,,ecg5000,NVIDIA A2,ecgclass,accuracy,0.9031111111111111,1417.926656,0.5278719999998884,181788.40625,3256.410624,55428.477,98.65392512003581,67.45086407111125,5.265430666666667
papageis,mlp,,,ecg5000,NVIDIA A2,ecgclass,accuracy,0.8804444444444445,23.242752,0.2657279999999993,10558.6494140625,142.904832,1140.961,15.625973164664375,14.110228821333337,0.5511024444444445
papageip,mlp,,,ecg5000,NVIDIA A2,ecgclass,accuracy,0.7542222222222222,20.068352,0.2657279999999993,9926.3203125,139.730432,1063.538,14.044579906887478,14.110227114666664,0.5049351111111111
papageissvri,mlp,,,ecg5000,NVIDIA A2,ecgclass,accuracy,0.8911111111111111,20.068352,0.2657279999999993,9986.001953125,139.730432,1066.414,16.44712122133043,14.110227114666664,0.5304682222222222
