req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,device_start_time,end_to_end_latency(ms),proc_time(ms),swap_time(ms),pred,true
121,12.103362045012503,site2,10.100.20.49:8030,momentsmall,heartrate,1768808168.9308426,1768808168.9327836,18.30148696899414,14.874392,0.006189,72.31608581542969,69.0
122,12.203389830508474,site2,10.100.20.49:8000,momentbase,ecgclass,1768808169.0303786,1768808169.0324972,14.126777648925781,10.291304,0.003996,0.0,0.0
123,12.303417616004447,site2,10.100.20.49:8030,momentsmall,heartrate,1768808169.1307561,1768808169.1329396,18.938064575195312,15.026342,0.004196,72.31608581542969,69.0
124,12.403445401500417,site2,10.100.20.49:8030,momentsmall,heartrate,1768808169.230916,1768808169.2330153,18.660783767700195,14.849744,0.0041459999999999995,72.31608581542969,69.0
125,12.503473186996388,site2,10.100.20.49:8000,momentbase,ecgclass,1768808169.330804,1768808169.3329434,13.905763626098633,10.287467,0.0038970000000000003,0.0,0.0
126,12.603500972492359,site2,10.100.20.49:8010,chronosbase,sysbp,1768808169.4309235,1768808169.432958,84.3818187713623,80.081215,0.004256,126.73008728027344,98.0
127,12.70352875798833,site2,10.100.20.49:8000,momentbase,ecgclass,1768808169.5304697,1768808169.5325627,13.960123062133789,10.203650999999999,0.0035949999999999997,0.0,0.0
128,12.8035565434843,site2,10.100.20.49:8030,momentsmall,diasbp,1768808169.630671,1768808169.632881,20.99013328552246,14.949716,0.005759,68.82672119140625,56.0
129,12.903584328980273,site2,10.100.20.49:8000,momentbase,ecgclass,1768808169.7309027,1768808169.733166,14.348983764648438,10.247517,0.003956,0.0,0.0
130,13.003612114476244,site2,10.100.20.49:8030,momentsmall,diasbp,1768808169.8304741,1768808169.8325927,18.624305725097656,14.933821,0.003856,68.82672119140625,56.0
131,13.103639899972213,site2,10.100.20.49:8010,chronosbase,sysbp,1768808169.930326,1768808169.932559,84.59258079528809,79.97859799999999,0.004988,126.73008728027344,98.0
132,13.203667685468186,site2,10.100.20.49:8010,chronosbase,sysbp,1768808170.0311303,1768808170.0328627,83.67443084716797,79.785816,0.003095,126.73008728027344,98.0
133,13.303695470964156,site2,10.100.20.49:8020,momentlarge,gestureclass,1768808170.1309676,1768808170.1328633,46.26345634460449,42.534243,0.003054,4.0,4.0
134,13.403723256460129,site2,10.100.20.49:8000,momentbase,ecgclass,1768808170.2304413,1768808170.2324028,14.010906219482422,10.309611,0.004076,0.0,0.0
135,13.503751041956098,site2,10.100.20.49:8020,momentlarge,gestureclass,1768808170.3306975,1768808170.33282,46.74506187438965,42.612431,0.004567,4.0,4.0
136,13.60377882745207,site2,10.100.20.49:8000,momentbase,ecgclass,1768808170.4306562,1768808170.4328413,14.089822769165039,10.268359,0.0034249999999999997,0.0,0.0
137,13.703806612948043,site2,10.100.20.49:8030,momentsmall,heartrate,1768808170.5309677,1768808170.5331702,18.873929977416992,14.897255999999999,0.00639,72.31608581542969,69.0
138,13.803834398444012,site2,10.100.20.49:8000,momentbase,ecgclass,1768808170.6310782,1768808170.6333342,14.342784881591797,10.309410999999999,0.004196,0.0,0.0
139,13.903862183939983,site2,10.100.20.49:8000,momentbase,ecgclass,1768808170.7306833,1768808170.7329042,13.983726501464844,10.184722,0.003966,0.0,0.0
140,14.003889969435955,site2,10.100.20.49:8010,chronosbase,sysbp,1768808170.8308935,1768808170.8331664,84.70869064331055,80.043988,0.004556999999999999,126.73008728027344,98.0
141,14.103917754931926,site2,10.100.20.49:8000,momentbase,ecgclass,1768808170.9307718,1768808170.932745,16.117572784423828,12.435979999999999,0.003245,0.0,0.0
142,14.203945540427895,site2,10.100.20.49:8010,chronosbase,sysbp,1768808171.0311453,1768808171.0332992,84.84292030334473,80.141296,0.004547,126.73008728027344,98.0
143,14.303973325923868,site2,10.100.20.49:8000,momentbase,ecgclass,1768808171.1312113,1768808171.1334007,14.180898666381836,10.246466,0.004737,0.0,0.0
144,14.404001111419838,site2,10.100.20.49:8000,momentbase,ecgclass,1768808171.2306437,1768808171.2327268,13.895988464355469,10.192344,0.0038959999999999997,0.0,0.0
145,14.504028896915809,site2,10.100.20.49:8010,chronosbase,sysbp,1768808171.3307629,1768808171.3328736,85.3123664855957,80.540843,0.0041459999999999995,126.73008728027344,98.0
146,14.604056682411782,site2,10.100.20.49:8000,momentbase,ecgclass,1768808171.4313111,1768808171.433369,13.94796371459961,10.193064,0.002985,0.0,0.0
147,14.704084467907752,site2,10.100.20.49:8010,chronosbase,sysbp,1768808171.531486,1768808171.5337758,84.88988876342773,80.46925300000001,0.0045260000000000005,126.73008728027344,98.0
148,14.804112253403725,site2,10.100.20.49:8000,momentbase,ecgclass,1768808171.6315374,1768808171.633514,13.681650161743164,10.171362,0.003365,0.0,0.0
149,14.904140038899694,site2,10.100.20.49:8010,chronosbase,sysbp,1768808171.7314553,1768808171.7335737,84.33389663696289,80.112232,0.004617,126.73008728027344,98.0
150,15.004167824395665,site2,10.100.20.49:8000,momentbase,ecgclass,1768808171.8309379,1768808171.8328714,13.541221618652344,10.119283,0.002764,0.0,0.0
151,15.104195609891635,site2,10.100.20.49:8000,momentbase,ecgclass,1768808171.9327142,1768808171.9347994,14.041900634765625,10.221818,0.004036,0.0,0.0
152,15.204223395387608,site2,10.100.20.49:8030,momentsmall,diasbp,1768808172.0309906,1768808172.0331068,18.593788146972656,14.916324999999999,0.006681,68.82672119140625,56.0
