req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,client_infer_submit_time,device_start_time,device_end_time,client_receive_time,client_prep_time(ms),client_submit_to_backend_start(ms),backend_exec_time(ms),backend_to_client_return(ms),end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms)
30444,377.82573133713714,site2,192.168.245.194:8000,swinsmall,imgclass10__app34,1776741556.0164816,1776741556.0164855,1776741556.0728421,1776741556.195911,1776741556.1977308,0.003814697265625,-15.804767608642578,123.06880950927734,73.98128509521484,181.24914169311523,116.505585,0.0036330000000000004,2.398919
30462,377.97384119674626,site2,192.168.245.195:8000,papageissvri,diasbp__app19,1776741556.1570213,1776741556.1570258,1776741556.1907952,1776741556.2221034,1776741556.2235136,0.0045299530029296875,1.790761947631836,31.30817413330078,33.38885307312012,66.49231910705566,27.54241,0.003953,2.20885
30461,377.97384119674626,site2,192.168.245.195:8000,papageissvri,diasbp__app11,1776741556.1568537,1776741556.1568587,1776741556.1907952,1776741556.2223268,1776741556.2236388,0.0050067901611328125,1.9578933715820312,31.531572341918945,33.29062461853027,66.78509712219238,27.54241,0.0038399999999999997,2.357007
30463,377.97384119674626,site2,192.168.245.195:8000,papageissvri,diasbp__app27,1776741556.1571991,1776741556.1572034,1776741556.1907952,1776741556.2232642,1776741556.2244155,0.004291534423828125,1.6131401062011719,32.46903419494629,33.12993049621582,67.21639633178711,27.54241,0.003686,3.455436
30464,377.97384119674626,site2,192.168.245.195:8000,papageissvri,diasbp__app35,1776741556.1573548,1776741556.1573591,1776741556.1907952,1776741556.2233622,1776741556.2245405,0.004291534423828125,1.4574527740478516,32.56702423095703,33.1568717956543,67.18564033508301,27.54241,0.003564,2.6567700000000003
30465,378.0434303725704,site2,192.168.245.195:8000,papageissvri,etth1fore,1776741556.2253976,1776741556.225403,1776741556.2282357,1776741556.254909,1776741556.256059,0.0054836273193359375,-29.14595603942871,26.673316955566406,33.12849998474121,30.661344528198242,24.788384,0.002927,1.0025469999999999
30458,377.93241880172565,site2,192.168.245.194:8000,swinsmall,imgclass10__app26,1776741556.1183176,1776741556.1183221,1776741556.1935573,1776741556.2659547,1776741556.2671015,0.0045299530029296875,3.0736923217773438,72.39747047424316,73.30822944641113,148.78392219543457,68.83789399999999,0.0034000000000000002,2.214883
30456,377.93241880172565,site2,192.168.245.194:8000,swinsmall,imgclass10__app10,1776741556.115643,1776741556.1156483,1776741556.1935573,1776741556.2665253,1776741556.2678294,0.005245208740234375,5.747556686401367,72.9680061340332,73.46558570861816,152.18639373779297,68.83789399999999,0.0031999999999999997,2.910662
30459,377.93241880172565,site2,192.168.245.194:8000,swinsmall,imgclass10__app34,1776741556.1201832,1776741556.1201878,1776741556.1935573,1776741556.266641,1776741556.2679534,0.0045299530029296875,1.2080669403076172,73.08363914489746,73.47393035888672,147.77016639709473,68.83789399999999,0.003224,2.17315
30457,377.93241880172565,site2,192.168.245.194:8000,swinsmall,imgclass10__app18,1776741556.116413,1776741556.116418,1776741556.1935573,1776741556.2666795,1776741556.268061,0.00476837158203125,4.977941513061523,73.12226295471191,73.54283332824707,151.64780616760254,68.83789399999999,0.003503,2.269686
30455,377.93241880172565,site2,192.168.245.194:8000,swinsmall,imgclass10,1776741556.1149118,1776741556.1149168,1776741556.1935573,1776741556.2667196,1776741556.2683024,0.0050067901611328125,6.479024887084961,73.16231727600098,73.74429702758789,153.39064598083496,68.83789399999999,0.003113,2.444308
30466,378.0434303725704,site2,192.168.245.195:8000,papageissvri,etth1fore__app15,1776741556.2256207,1776741556.2256262,1776741556.2545009,1776741556.278983,1776741556.280492,0.0054836273193359375,-3.103971481323242,24.482250213623047,33.487558364868164,54.871320724487305,21.524119000000002,0.003917,1.240997
30467,378.0434303725704,site2,192.168.245.195:8000,papageissvri,etth1fore__app23,1776741556.2257934,1776741556.2257977,1776741556.2545009,1776741556.2792377,1776741556.2807274,0.004291534423828125,-3.2753944396972656,24.736881256103516,33.46824645996094,54.934024810791016,21.524119000000002,0.003513,1.6974500000000001
