task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
nyudepth,2,1,7.7432,7.8377,94.5144,94.5144,82.0025,80.8841,0.0042,0.7268,5.9037,12.5119,1775531997669011216,0
nyudepth,2,1,7.8377,7.932,94.3174,94.3174,83.0324,81.9394,0.0038,0.7243,4.818,11.2851,1775531997762451826,0
nyudepth,2,1,7.932,8.0266,94.624,94.624,82.333,81.2457,0.0039,0.7037,5.7576,12.291,1775531997857720863,0
nyudepth,2,1,8.0267,8.1217,95.0806,95.0806,83.2161,82.0317,0.0047,0.8051,5.0135,11.8645,1775531997951613499,0
nyudepth,2,1,8.1217,8.2165,94.7948,94.7948,82.0111,80.3787,0.0044,1.2286,6.1049,12.7836,1775531998047798626,0
nyudepth,2,1,8.2166,8.3107,94.1503,94.1503,82.7079,81.5559,0.0046,0.7464,4.7731,11.4424,1775531998141274444,0
nyudepth,2,1,8.3107,8.4055,94.754,94.754,81.86,80.7007,0.0047,0.7634,6.2764,12.8939,1775531998236940879,0
nyudepth,2,1,8.4055,8.5,94.5239,94.5239,81.9966,80.8269,0.0046,0.7607,5.9335,12.5273,1775531998331364556,0
nyudepth,2,1,8.5,8.5946,94.5818,94.5818,83.056,81.8616,0.005,0.789,4.8833,11.5258,1775531998424850522,0
nyudepth,2,1,8.5946,8.689,94.4121,94.4121,83.0268,81.8948,0.0042,0.7377,4.822,11.3853,1775531998519383832,0
nyudepth,2,1,8.689,8.7838,94.7156,94.7156,83.2404,82.1016,0.0043,0.7218,4.9012,11.4752,1775531998613891035,0
nyudepth,2,1,8.7838,8.8785,94.6877,94.6877,83.3446,82.1979,0.0035,0.769,4.7905,11.3431,1775531998708508735,0
nyudepth,2,1,8.8785,8.9732,94.7192,94.7192,82.8347,81.695,0.0047,0.7512,5.1949,11.8845,1775531998803617000,0
nyudepth,2,1,8.9732,9.0677,94.4538,94.4538,82.5997,81.4284,0.005,0.7716,5.1851,11.8541,1775531998898338468,0
nyudepth,2,1,9.0677,9.1625,94.8684,94.8684,82.5198,80.9773,0.0038,1.1616,5.8134,12.3486,1775531998993435109,0
nyudepth,2,1,9.1626,9.2567,94.151,94.151,81.7329,80.6314,0.005,0.7175,5.7876,12.4181,1775531999088290314,0
nyudepth,2,1,9.2567,9.3515,94.7332,94.7332,82.2934,81.158,0.0045,0.7536,5.7747,12.4399,1775531999182440365,0
nyudepth,2,1,9.3515,9.4457,94.2748,94.2748,81.8036,80.6566,0.005,0.7352,5.9245,12.4712,1775531999277335967,0
nyudepth,2,1,9.4458,9.5405,94.7669,94.7669,83.1702,82.036,0.0036,0.7455,4.9992,11.5967,1775531999370698261,0
nyudepth,2,1,9.5405,9.635,94.4259,94.4259,81.8203,80.709,0.0043,0.7267,6.0325,12.6056,1775531999466510099,0
nyudepth,2,1,9.635,9.7296,94.6763,94.6763,79.858,78.7378,0.0034,0.7259,8.1446,14.8182,1775531999563060291,0
nyudepth,2,1,9.7297,9.8245,94.8875,94.8875,81.9123,80.7877,0.0043,0.7507,6.2633,12.9752,1775531999655867990,0
nyudepth,2,1,9.8246,9.9187,94.1789,94.1789,81.8933,80.7697,0.004,0.7401,5.7578,12.2857,1775531999750261350,0
nyudepth,2,1,9.9187,10.0133,94.5799,94.5799,82.2261,81.1371,0.0039,0.7203,5.7993,12.3538,1775531999844493852,0
nyudepth,2,1,10.0133,10.1088,95.4256,95.4256,84.0452,82.3221,0.0041,1.3391,4.694,11.3804,1775531999937981115,0
nyudepth,2,1,10.1088,10.2028,94.0104,94.0104,82.6302,81.5005,0.0041,0.7253,4.7023,11.3801,1775532000033428551,0
nyudepth,2,1,10.2028,10.2974,94.5895,94.5895,83.1632,82.0173,0.0042,0.7682,4.849,11.4263,1775532000127598790,0
nyudepth,2,1,10.2974,10.392,94.5454,94.5454,82.1609,81.018,0.0041,0.7368,5.8312,12.3845,1775532000223183656,0
nyudepth,2,1,10.392,10.4866,94.6734,94.6734,83.3346,82.1308,0.0041,0.7769,4.6716,11.3388,1775532000316582463,0
nyudepth,2,1,10.4867,10.5812,94.5604,94.5604,81.9644,80.8303,0.0037,0.747,5.9187,12.596,1775532000412515737,0
