req_id,req_time,site_manager,device,backbone,task,end_to_end_latency(ms),proc_time(ms),swap_time(ms),pred,true
6665,67.18666980047014,site2,site2,chronostiny,gestureclass,6.730794906616211,4.0740966796875,0.0016689300537109375,4.0,4.0
6666,67.19611687619451,site2,site2,chronostiny,ecgclass,6.537914276123047,4.007577896118164,0.0026226043701171875,0.0,0.0
6667,67.25687204351816,site2,site2,chronostiny,gestureclass,8.12840461730957,4.507780075073242,0.0050067901611328125,4.0,4.0
6668,67.29383810019256,site2,site2,chronostiny,ecgclass,8.001327514648438,4.528045654296875,0.0045299530029296875,0.0,0.0
6669,67.32776958635537,site2,site2,chronostiny,ecgclass,8.098602294921875,4.476785659790039,0.0019073486328125,0.0,0.0
6670,67.3320526471399,site2,site2,chronostiny,ecgclass,6.603240966796875,3.9641857147216797,0.001430511474609375,0.0,0.0
6671,67.37945853643392,site2,site2,chronostiny,gestureclass,8.36634635925293,4.621744155883789,0.003814697265625,4.0,4.0
6672,67.38553700855176,site2,site2,chronostiny,ecgclass,6.481409072875977,4.034280776977539,0.00286102294921875,0.0,0.0
6673,67.40463138112243,site2,site2,chronostiny,ecgclass,7.180929183959961,4.056453704833984,0.001430511474609375,0.0,0.0
6674,67.40706892577928,site2,site2,chronostiny,ecgclass,6.456851959228516,4.019975662231445,0.0019073486328125,0.0,0.0
6675,67.41411774703725,site2,site2,chronostiny,gestureclass,6.459474563598633,4.00090217590332,0.00286102294921875,4.0,4.0
6676,67.4479352528985,site2,site2,chronostiny,gestureclass,8.386850357055664,4.542350769042969,0.003337860107421875,4.0,4.0
6677,67.47731581225597,site2,site2,chronostiny,ecgclass,7.353305816650391,4.334211349487305,0.0040531158447265625,0.0,0.0
6678,67.48882755648515,site2,site2,chronostiny,gestureclass,6.801128387451172,4.12297248840332,0.0030994415283203125,4.0,4.0
6679,67.50481324457016,site2,site2,chronostiny,gestureclass,12.42518424987793,4.287481307983398,0.0021457672119140625,4.0,4.0
6680,67.50675427175894,site2,site2,chronostiny,gestureclass,6.49714469909668,4.0073394775390625,0.001430511474609375,4.0,4.0
6681,67.51954333855588,site2,site2,chronostiny,ecgclass,6.426811218261719,4.034996032714844,0.0030994415283203125,0.0,0.0
6682,67.52916801540923,site2,site2,chronostiny,gestureclass,6.251335144042969,3.948211669921875,0.0026226043701171875,4.0,4.0
6683,67.53012818880032,site2,site2,chronostiny,ecgclass,6.341695785522461,3.978729248046875,0.002384185791015625,0.0,0.0
6684,67.53132908456122,site2,site2,chronostiny,gestureclass,6.288766860961914,3.955364227294922,0.0026226043701171875,4.0,4.0
6685,67.5324769505555,site2,site2,chronostiny,ecgclass,6.141424179077148,3.8907527923583984,0.002384185791015625,0.0,0.0
6686,67.54536343547912,site2,site2,chronostiny,ecgclass,6.342887878417969,3.927469253540039,0.0016689300537109375,0.0,0.0
6687,67.54689162857362,site2,site2,chronostiny,ecgclass,6.548404693603516,3.991842269897461,0.001430511474609375,0.0,0.0
6688,67.55319771523806,site2,site2,chronostiny,gestureclass,6.417036056518555,3.9501190185546875,0.0026226043701171875,4.0,4.0
6689,67.55761353783271,site2,site2,chronostiny,ecgclass,6.438732147216797,3.9904117584228516,0.00286102294921875,0.0,0.0
6690,67.5656098242033,site2,site2,chronostiny,gestureclass,6.407022476196289,3.998279571533203,0.00286102294921875,4.0,4.0
6691,67.57786779951564,site2,site2,chronostiny,ecgclass,6.466865539550781,3.961324691772461,0.00286102294921875,0.0,0.0
6692,67.58941082145209,site2,site2,chronostiny,gestureclass,6.565332412719727,4.0760040283203125,0.0030994415283203125,4.0,4.0
6693,67.59665761099824,site2,site2,chronostiny,gestureclass,6.549835205078125,4.002809524536133,0.001430511474609375,4.0,4.0
6694,67.6029000717718,site2,site2,chronostiny,gestureclass,6.499528884887695,3.9823055267333984,0.0019073486328125,4.0,4.0
6695,67.60797198737365,site2,site2,chronostiny,gestureclass,6.574153900146484,4.0569305419921875,0.001430511474609375,4.0,4.0
6696,67.62777047995488,site2,site2,chronostiny,gestureclass,7.036924362182617,4.228830337524414,0.0021457672119140625,4.0,4.0
6697,67.63178797721493,site2,site2,chronostiny,ecgclass,6.52623176574707,4.005670547485352,0.0026226043701171875,0.0,0.0
6698,67.63479046182867,site2,site2,chronostiny,gestureclass,6.6375732421875,4.059314727783203,0.00286102294921875,4.0,4.0
6699,67.64838953732846,site2,site2,chronostiny,ecgclass,6.595611572265625,4.072666168212891,0.00286102294921875,0.0,0.0
6700,67.65284871312657,site2,site2,chronostiny,gestureclass,6.483793258666992,4.038810729980469,0.00286102294921875,4.0,4.0
6701,67.67162179518375,site2,site2,chronostiny,gestureclass,7.807731628417969,4.45866584777832,0.00286102294921875,4.0,4.0
6702,67.67559510873278,site2,site2,chronostiny,ecgclass,6.8073272705078125,4.113912582397461,0.0030994415283203125,0.0,0.0
6703,67.68769987530459,site2,site2,chronostiny,ecgclass,6.572246551513672,4.032611846923828,0.001430511474609375,0.0,0.0
6704,67.68816145618182,site2,site2,chronostiny,ecgclass,6.578207015991211,4.0187835693359375,0.0019073486328125,0.0,0.0
6705,67.69303194300669,site2,site2,chronostiny,gestureclass,6.493806838989258,4.000663757324219,0.0026226043701171875,4.0,4.0
6706,67.69723615964966,site2,site2,chronostiny,gestureclass,6.820201873779297,4.024744033813477,0.001430511474609375,4.0,4.0
6707,67.71420131107155,site2,site2,chronostiny,gestureclass,6.801605224609375,4.10151481628418,0.0021457672119140625,4.0,4.0
6708,67.74833059121285,site2,site2,chronostiny,gestureclass,8.29172134399414,4.563093185424805,0.0021457672119140625,4.0,4.0
6709,67.75450878587738,site2,site2,chronostiny,gestureclass,6.834745407104492,4.075765609741211,0.0019073486328125,4.0,4.0
6710,67.77192912771038,site2,site2,chronostiny,ecgclass,7.686138153076172,4.507780075073242,0.0040531158447265625,0.0,0.0
6711,67.78395868429357,site2,site2,chronostiny,ecgclass,7.021903991699219,4.084110260009766,0.001430511474609375,0.0,0.0
6712,67.81818881686048,site2,site2,chronostiny,gestureclass,8.603811264038086,4.5757293701171875,0.0050067901611328125,4.0,4.0
6713,67.8348546426482,site2,site2,chronostiny,gestureclass,7.276296615600586,4.311561584472656,0.0021457672119140625,4.0,4.0
6714,67.83566108391436,site2,site2,chronostiny,gestureclass,6.726503372192383,4.078149795532227,0.0016689300537109375,4.0,4.0
6715,67.84815363547843,site2,site2,chronostiny,ecgclass,6.483793258666992,4.024505615234375,0.00286102294921875,0.0,0.0
6716,67.85582156655917,site2,site2,chronostiny,ecgclass,6.510257720947266,4.018545150756836,0.0011920928955078125,0.0,0.0
6717,67.85598729284372,site2,site2,chronostiny,ecgclass,6.62541389465332,4.001140594482422,0.001430511474609375,0.0,0.0
6718,67.8588816350257,site2,site2,chronostiny,ecgclass,6.423473358154297,4.012823104858398,0.001430511474609375,0.0,0.0
