backbone,decoder,encoder,adapter,dataset_name,device,tpc_count,task_name,inference_batch_size,n_requests,backbone_load_time_ms,backbone_load_mem_mb,decoder_load_time_ms,decoder_load_mem_mb,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,backbone_mean_ms,decoder_mean_ms,backbone_ms_per_sample,peak_gpu_mem_mb,avg_gpu_mem_mb,throughput_rps
chronoslarge,mlp,,,PPG-data,NVIDIA A2,2,diasbp,32,200,1445.81193709746,1417.926656,5.742574110627174,0.525824,4432.5658,4432.2799,4433.2759,4439.3647,4413.1879,16.4875,137.9121,1360.867,1360.867,7.219
chronoslarge,mlp,,,PPG-data,NVIDIA A2,1,diasbp,1,200,1656.008678022772,1417.926656,4.786139819771051,0.525824,285.5889,284.5608,286.2938,287.1537,284.0341,1.1608,284.0341,1360.867,1360.867,3.502
chronoslarge,mlp,,,PPG-data,NVIDIA A2,1,diasbp,2,200,1656.008678022772,1417.926656,4.786139819771051,0.525824,554.3674,554.2603,554.7145,555.2455,552.7757,1.2666,276.3878,1360.867,1360.867,3.608
chronoslarge,mlp,,,PPG-data,NVIDIA A2,1,diasbp,4,200,1656.008678022772,1417.926656,4.786139819771051,0.525824,1077.5403,1077.481,1077.857,1078.1806,1075.2546,1.9484,268.8136,1360.867,1360.867,3.712
chronoslarge,mlp,,,PPG-data,NVIDIA A2,1,diasbp,8,200,1656.008678022772,1417.926656,4.786139819771051,0.525824,2119.2994,2119.0915,2120.7645,2122.6754,2115.4247,3.453,264.4281,1360.867,1360.867,3.775
chronoslarge,mlp,,,PPG-data,NVIDIA A2,1,diasbp,16,200,1656.008678022772,1417.926656,4.786139819771051,0.525824,4150.4699,4150.1725,4150.9245,4156.3103,4143.6842,6.2809,258.9803,1360.867,1360.867,3.855
chronoslarge,mlp,,,PPG-data,NVIDIA A2,1,diasbp,32,200,1656.008678022772,1417.926656,4.786139819771051,0.525824,8382.7494,8382.2337,8390.094,8390.7332,8360.2951,19.3878,261.2592,1360.867,1360.867,3.817
momentlarge,mlp,,,PPG-data,NVIDIA A2,5,sysbp,1,200,6072.859859094024,1461.95456,4.581182729452848,0.525824,41.2223,40.5243,41.4736,43.0122,40.4279,0.465,40.4279,1403.106,1403.106,24.259
momentlarge,mlp,,,PPG-data,NVIDIA A2,5,sysbp,2,200,6072.859859094024,1461.95456,4.581182729452848,0.525824,46.5517,46.519,47.0583,47.412,45.7755,0.4417,22.8878,1403.356,1403.356,42.963
momentlarge,mlp,,,PPG-data,NVIDIA A2,5,sysbp,4,200,6072.859859094024,1461.95456,4.581182729452848,0.525824,85.1806,85.1894,85.7543,85.9569,84.4017,0.4275,21.1004,1403.856,1403.856,46.959
momentlarge,mlp,,,PPG-data,NVIDIA A2,5,sysbp,8,200,6072.859859094024,1461.95456,4.581182729452848,0.525824,170.4035,170.3734,171.8878,173.3094,169.378,0.5291,21.1722,1404.856,1404.856,46.947
momentlarge,mlp,,,PPG-data,NVIDIA A2,5,sysbp,16,200,6072.859859094024,1461.95456,4.581182729452848,0.525824,329.8275,329.8748,331.4207,331.9019,328.7652,0.548,20.5478,1406.856,1406.856,48.51
papageissvri,mlp,,,PPG-data,NVIDIA A2,5,diasbp,1,200,230.5261418223381,20.068352,0.3508739173412323,0.26368,14.4602,11.792,14.8193,15.0787,13.7288,0.4097,13.7288,27.517,27.517,69.156
papageissvri,mlp,,,PPG-data,NVIDIA A2,5,diasbp,2,200,230.5261418223381,20.068352,0.3508739173412323,0.26368,14.8433,13.3724,14.8343,15.6543,14.0636,0.4159,7.0318,27.519,27.519,134.741
papageissvri,mlp,,,PPG-data,NVIDIA A2,5,diasbp,4,200,230.5261418223381,20.068352,0.3508739173412323,0.26368,14.5551,12.804,15.1406,15.7256,13.7868,0.3947,3.4467,27.523,27.523,274.818
papageissvri,mlp,,,PPG-data,NVIDIA A2,5,diasbp,8,200,230.5261418223381,20.068352,0.3508739173412323,0.26368,16.6145,14.6825,16.8003,19.0302,15.7782,0.4512,1.9723,27.531,27.531,481.508
papageissvri,mlp,,,PPG-data,NVIDIA A2,5,diasbp,16,200,230.5261418223381,20.068352,0.3508739173412323,0.26368,16.8548,15.1989,18.4193,20.0273,15.9293,0.4546,0.9956,27.546,27.546,949.287
papageissvri,mlp,,,PPG-data,NVIDIA A2,5,diasbp,32,200,230.5261418223381,20.068352,0.3508739173412323,0.26368,16.6317,14.5589,18.5884,19.3729,15.6349,0.4691,0.4886,27.578,27.578,1924.032
papageissvri,mlp,,,PPG-data,NVIDIA A2,2,diasbp,1,200,403.7875281646848,20.068352,0.3580339252948761,0.26368,17.1927,13.9313,14.9751,15.5552,16.3749,0.4512,16.3749,27.517,27.517,58.164
papageissvri,mlp,,,PPG-data,NVIDIA A2,2,diasbp,2,200,403.7875281646848,20.068352,0.3580339252948761,0.26368,12.7413,11.7575,12.2,12.6989,12.0632,0.3598,6.0316,27.519,27.519,156.97
