task,device,t_center,count,throughput_rps,p50_ms,p99_ms
trafficfore,192.168.245.191:8000,81.5,13,13.0,72.20602035522461,125.69878578186032
trafficfore,192.168.245.191:8000,82.5,12,12.0,62.85381317138672,110.91000318527222
trafficfore,192.168.245.191:8000,83.5,18,18.0,88.5782241821289,165.71083068847656
trafficfore,192.168.245.191:8000,84.5,14,14.0,176.91504955291748,236.6358852386475
trafficfore,192.168.245.191:8000,85.5,14,14.0,105.50141334533691,156.6481614112854
trafficfore,192.168.245.191:8000,86.5,13,13.0,56.49447441101074,118.80066871643065
trafficfore,192.168.245.191:8000,87.5,12,12.0,97.2893238067627,166.6429400444031
trafficfore,192.168.245.191:8000,88.5,14,14.0,60.54103374481201,122.39110946655273
trafficfore,192.168.245.191:8000,89.5,7,7.0,59.19933319091797,91.46583557128906
trafficfore,192.168.245.191:8000,90.5,16,16.0,60.92250347137451,134.65367555618286
trafficfore,192.168.245.191:8000,91.5,28,28.0,225.36218166351318,314.20713663101196
trafficfore,192.168.245.191:8000,92.5,15,15.0,71.73347473144531,114.95546340942384
trafficfore,192.168.245.191:8000,93.5,13,13.0,65.81974029541016,92.89742469787596
trafficfore,192.168.245.191:8000,94.5,14,14.0,117.77210235595703,178.1181836128235
trafficfore,192.168.245.191:8000,95.5,14,14.0,52.76322364807129,81.80960893630981
trafficfore,192.168.245.191:8000,96.5,15,15.0,60.34970283508301,137.2277069091797
trafficfore,192.168.245.191:8000,97.5,14,14.0,55.10234832763672,112.51471519470213
trafficfore,192.168.245.191:8000,98.5,14,14.0,52.353858947753906,81.38318538665771
trafficfore,192.168.245.191:8000,99.5,10,10.0,64.99743461608887,135.8455467224121
trafficfore,192.168.245.191:8000,100.5,16,16.0,191.74516201019287,271.7601537704468
trafficfore,192.168.245.191:8000,101.5,20,20.0,96.36080265045166,188.80098104476932
trafficfore,192.168.245.191:8000,102.5,17,17.0,108.86740684509276,265.1064395904541
trafficfore,192.168.245.191:8000,103.5,17,17.0,101.62115097045898,150.02262115478516
trafficfore,192.168.245.191:8000,104.5,17,17.0,112.16115951538086,159.43243980407712
trafficfore,192.168.245.191:8000,105.5,14,14.0,126.89220905303955,165.95816373825073
trafficfore,192.168.245.191:8000,106.5,17,17.0,98.05750846862792,229.1337776184082
trafficfore,192.168.245.191:8000,107.5,10,10.0,58.85505676269531,81.23986721038818
trafficfore,192.168.245.191:8000,108.5,18,18.0,95.13711929321288,149.5851922035217
trafficfore,192.168.245.191:8000,109.5,13,13.0,104.00676727294922,156.03399276733398
trafficfore,192.168.245.191:8000,110.5,13,13.0,112.37406730651855,158.97500038146973
trafficfore,192.168.245.191:8000,111.5,18,18.0,99.98726844787598,190.37432193756098
trafficfore,192.168.245.191:8000,112.5,15,15.0,59.92317199707031,96.33047580718993
trafficfore,192.168.245.191:8000,113.5,9,9.0,83.17232131958008,155.95098495483398
trafficfore,192.168.245.191:8000,114.5,17,17.0,110.7168197631836,191.65449142456055
trafficfore,192.168.245.191:8000,115.5,10,10.0,72.60096073150635,136.09852075576782
trafficfore,192.168.245.191:8000,116.5,12,12.0,73.30489158630371,112.19900369644166
trafficfore,192.168.245.191:8000,117.5,17,17.0,108.37388038635254,195.38590431213376
trafficfore,192.168.245.191:8000,118.5,16,16.0,91.7748212814331,133.2608699798584
trafficfore,192.168.245.191:8000,119.5,20,20.0,71.08378410339355,150.1647710800171
trafficfore,192.168.245.191:8000,120.5,3,3.0,125.77199935913086,171.38122081756592
trafficfore,192.168.245.194:8010,72.5,6,6.0,327.3864984512329,382.38624334335327
trafficfore,192.168.245.194:8010,73.5,14,14.0,61.521053314208984,123.3173394203186
trafficfore,192.168.245.194:8010,74.5,13,13.0,45.93229293823242,65.78374862670898
trafficfore,192.168.245.194:8010,75.5,13,13.0,85.52193641662598,125.65334320068358
trafficfore,192.168.245.194:8010,76.5,17,17.0,129.03308868408203,233.9700508117676
trafficfore,192.168.245.194:8010,77.5,11,11.0,62.94679641723633,176.73060894012454
trafficfore,192.168.245.194:8010,78.5,17,17.0,53.76434326171875,158.9428997039795
trafficfore,192.168.245.194:8010,79.5,13,13.0,68.14050674438477,124.36793327331543
trafficfore,192.168.245.194:8010,80.5,15,15.0,58.04657936096192,168.07184219360352
trafficfore,192.168.245.194:8010,81.5,21,21.0,143.45359802246094,250.04463195800784
trafficfore,192.168.245.194:8010,82.5,18,18.0,104.0029525756836,157.83030033111567
trafficfore,192.168.245.194:8010,83.5,16,16.0,91.61221981048584,115.59470891952513
trafficfore,192.168.245.194:8010,84.5,14,14.0,54.697275161743164,102.13250875473022
trafficfore,192.168.245.194:8010,85.5,15,15.0,66.87021255493164,97.84234523773193
trafficfore,192.168.245.194:8010,86.5,17,17.0,68.4058666229248,120.30821800231934
trafficfore,192.168.245.194:8010,87.5,15,15.0,66.65921211242676,163.6677026748657
trafficfore,192.168.245.194:8010,88.5,12,12.0,73.52006435394287,142.88757801055908
trafficfore,192.168.245.194:8010,89.5,11,11.0,74.6607780456543,171.83458805084229
trafficfore,192.168.245.194:8010,90.5,11,11.0,71.77376747131348,106.12564086914062
trafficfore,192.168.245.194:8010,91.5,9,9.0,58.41398239135742,115.02296447753905
trafficfore,192.168.245.194:8010,92.5,12,12.0,79.9778699874878,126.43973112106325
trafficfore,192.168.245.194:8010,93.5,11,11.0,55.3126335144043,127.72216796875001
trafficfore,192.168.245.194:8010,94.5,18,18.0,72.73435592651367,151.90114021301267
trafficfore,192.168.245.194:8010,95.5,14,14.0,70.28305530548096,122.2573733329773
trafficfore,192.168.245.194:8010,96.5,19,19.0,114.19081687927246,235.54408073425293
trafficfore,192.168.245.194:8010,97.5,17,17.0,72.07202911376953,138.27387809753418
trafficfore,192.168.245.194:8010,98.5,12,12.0,79.1081190109253,110.0292181968689
trafficfore,192.168.245.194:8010,99.5,11,11.0,87.37349510192871,116.69504642486571
trafficfore,192.168.245.194:8010,100.5,14,14.0,70.75047492980957,109.32940959930421
trafficfore,192.168.245.194:8010,101.5,10,10.0,54.50594425201417,94.226975440979
trafficfore,192.168.245.194:8010,102.5,14,14.0,66.34688377380371,159.8763084411621
trafficfore,192.168.245.194:8010,103.5,13,13.0,61.9204044342041,94.70160484313965
trafficfore,192.168.245.194:8010,104.5,15,15.0,69.2453384399414,157.68435955047607
trafficfore,192.168.245.194:8010,105.5,24,24.0,90.67606925964355,181.44293308258054
trafficfore,192.168.245.194:8010,106.5,17,17.0,47.27911949157715,106.29637718200684
trafficfore,192.168.245.194:8010,107.5,24,24.0,125.59866905212402,243.1700563430786
trafficfore,192.168.245.194:8010,108.5,12,12.0,58.872342109680176,112.30499505996704
trafficfore,192.168.245.194:8010,109.5,13,13.0,61.10763549804688,81.0641860961914
trafficfore,192.168.245.194:8010,110.5,8,8.0,55.42004108428955,151.07858896255493
trafficfore,192.168.245.194:8010,111.5,9,9.0,71.45166397094727,149.52200889587402
trafficfore,192.168.245.194:8010,112.5,10,10.0,67.2224760055542,95.84356307983398
trafficfore,192.168.245.194:8010,113.5,20,20.0,97.72038459777832,198.1934952735901
trafficfore,192.168.245.194:8010,114.5,15,15.0,73.22025299072266,108.7425708770752
trafficfore,192.168.245.194:8010,115.5,9,9.0,71.36893272399902,115.5808925628662
trafficfore,192.168.245.194:8010,116.5,13,13.0,121.51074409484865,200.103588104248
trafficfore,192.168.245.194:8010,117.5,10,10.0,57.90746212005615,143.18883895874023
trafficfore,192.168.245.194:8010,118.5,21,21.0,119.69709396362305,224.83777999877933
trafficfore,192.168.245.194:8010,119.5,12,12.0,94.44296360015869,144.6094274520874
trafficfore,192.168.245.194:8010,120.5,1,1.0,74.9666690826416,74.9666690826416
vocseg,192.168.245.194:8000,0.5,9,9.0,45.78614234924317,51.63938522338868
vocseg,192.168.245.194:8000,1.5,4,4.0,45.792341232299805,47.70807981491089
vocseg,192.168.245.194:8000,2.5,3,3.0,43.76220703125,45.60617446899414
vocseg,192.168.245.194:8000,3.5,4,4.0,45.398712158203125,46.38652801513672
vocseg,192.168.245.194:8000,4.5,6,6.0,47.669172286987305,67.7661657333374
vocseg,192.168.245.194:8000,5.5,2,2.0,43.433547019958496,43.90890836715699
vocseg,192.168.245.194:8000,6.5,6,6.0,47.89292812347412,72.74852991104126
vocseg,192.168.245.194:8000,7.5,4,4.0,47.2182035446167,71.07508182525635
vocseg,192.168.245.194:8000,8.5,7,7.0,45.20630836486816,46.98038578033447
vocseg,192.168.245.194:8000,9.5,10,10.0,45.24791240692139,81.36552572250366
vocseg,192.168.245.194:8000,10.5,3,3.0,46.53811454772949,47.234625816345215
vocseg,192.168.245.194:8000,11.5,5,5.0,45.327186584472656,60.76560020446777
vocseg,192.168.245.194:8000,12.5,2,2.0,44.682979583740234,45.34958362579346
vocseg,192.168.245.194:8000,13.5,8,8.0,45.40884494781494,46.11408710479736
vocseg,192.168.245.194:8000,15.5,3,3.0,47.04189300537109,53.01025390625
vocseg,192.168.245.194:8000,16.5,2,2.0,46.714067459106445,47.97834873199463
vocseg,192.168.245.194:8000,17.5,6,6.0,46.149611473083496,55.56759834289551
vocseg,192.168.245.194:8000,18.5,2,2.0,42.806029319763184,43.94472360610962
vocseg,192.168.245.194:8000,19.5,9,9.0,49.48186874389648,143.82888793945312
vocseg,192.168.245.194:8000,20.5,5,5.0,45.59683799743652,46.6133975982666
vocseg,192.168.245.194:8000,21.5,5,5.0,45.44210433959961,45.65434455871582
vocseg,192.168.245.194:8000,22.5,4,4.0,60.63032150268555,79.07288312911987
vocseg,192.168.245.194:8000,23.5,4,4.0,43.72107982635498,47.93207883834839
vocseg,192.168.245.194:8000,24.5,6,6.0,45.859456062316895,46.58445119857788
vocseg,192.168.245.194:8000,25.5,2,2.0,48.729538917541504,51.45892381668091
vocseg,192.168.245.194:8000,26.5,6,6.0,50.28367042541504,69.89927291870117
vocseg,192.168.245.194:8000,27.5,3,3.0,45.46785354614258,45.79496383666992
vocseg,192.168.245.194:8000,28.5,2,2.0,49.011945724487305,52.675580978393555
vocseg,192.168.245.194:8000,29.5,3,3.0,45.70984840393066,46.44491195678711
vocseg,192.168.245.194:8000,30.5,6,6.0,44.915199279785156,50.505125522613525
vocseg,192.168.245.194:8000,31.5,9,9.0,49.45540428161621,73.42052459716797
