run_idx,device,backbone,task,batch_size,req_idx,latency_ms,backbone_ms,decoder_ms,gpu_peak_mb
0,NVIDIA A16,momentbase,ecgclass,2,68,15.6805,14.6946,0.4996,443.254
0,NVIDIA A16,momentbase,ecgclass,2,69,15.3151,14.6486,0.5066,443.254
0,NVIDIA A16,momentbase,ecgclass,2,70,15.1426,14.4887,0.4975,443.254
0,NVIDIA A16,momentbase,ecgclass,2,71,15.0906,14.4189,0.5051,443.254
0,NVIDIA A16,momentbase,ecgclass,2,72,15.1503,14.4566,0.5217,443.254
0,NVIDIA A16,momentbase,ecgclass,2,73,15.2955,14.6056,0.5149,443.254
0,NVIDIA A16,momentbase,ecgclass,2,74,15.2292,14.5303,0.5323,443.254
0,NVIDIA A16,momentbase,ecgclass,2,75,15.5096,14.8727,0.4848,443.254
0,NVIDIA A16,momentbase,ecgclass,2,76,15.1267,14.4675,0.5019,443.254
0,NVIDIA A16,momentbase,ecgclass,2,77,15.2129,14.5499,0.5075,443.254
0,NVIDIA A16,momentbase,ecgclass,2,78,15.2051,14.5299,0.5045,443.254
0,NVIDIA A16,momentbase,ecgclass,2,79,15.2972,14.6245,0.5092,443.254
0,NVIDIA A16,momentbase,ecgclass,2,80,15.1416,14.4507,0.5176,443.254
0,NVIDIA A16,momentbase,ecgclass,2,81,15.5401,14.5787,0.7922,443.254
0,NVIDIA A16,momentbase,ecgclass,2,82,15.1742,14.5062,0.5052,443.254
0,NVIDIA A16,momentbase,ecgclass,2,83,15.1245,14.4623,0.5013,443.254
0,NVIDIA A16,momentbase,ecgclass,2,84,15.1961,14.5208,0.5127,443.254
0,NVIDIA A16,momentbase,ecgclass,2,85,15.1035,14.4349,0.5112,443.254
0,NVIDIA A16,momentbase,ecgclass,2,86,15.1345,14.466,0.5082,443.254
0,NVIDIA A16,momentbase,ecgclass,2,87,15.2873,14.6011,0.5229,443.254
0,NVIDIA A16,momentbase,ecgclass,2,88,15.6107,14.6401,0.8026,443.254
0,NVIDIA A16,momentbase,ecgclass,2,89,15.2365,14.5683,0.5058,443.254
0,NVIDIA A16,momentbase,ecgclass,2,90,15.1703,14.5013,0.5062,443.254
0,NVIDIA A16,momentbase,ecgclass,2,91,15.2315,14.5601,0.5027,443.254
0,NVIDIA A16,momentbase,ecgclass,2,92,15.2214,14.5571,0.5022,443.254
0,NVIDIA A16,momentbase,ecgclass,2,93,15.0883,14.3991,0.5232,443.254
0,NVIDIA A16,momentbase,ecgclass,2,94,15.0826,14.3847,0.5275,443.254
0,NVIDIA A16,momentbase,ecgclass,2,95,15.4827,14.504,0.8074,443.254
0,NVIDIA A16,momentbase,ecgclass,2,96,15.1661,14.5254,0.4859,443.254
0,NVIDIA A16,momentbase,ecgclass,2,97,15.1735,14.5198,0.5007,443.254
0,NVIDIA A16,momentbase,ecgclass,2,98,15.0942,14.4171,0.5016,443.254
0,NVIDIA A16,momentbase,ecgclass,2,99,15.1612,14.4816,0.5167,443.254
0,NVIDIA A16,momentbase,ecgclass,2,100,15.3244,14.6304,0.5176,443.254
0,NVIDIA A16,momentbase,ecgclass,2,101,15.2786,14.5853,0.5272,443.254
0,NVIDIA A16,momentbase,ecgclass,2,102,15.4367,14.4715,0.7986,443.254
0,NVIDIA A16,momentbase,ecgclass,2,103,15.0927,14.4399,0.4976,443.254
0,NVIDIA A16,momentbase,ecgclass,2,104,15.2789,14.611,0.5028,443.254
0,NVIDIA A16,momentbase,ecgclass,2,105,15.0932,14.4195,0.5092,443.254
0,NVIDIA A16,momentbase,ecgclass,2,106,15.1121,14.4417,0.5096,443.254
0,NVIDIA A16,momentbase,ecgclass,2,107,15.1663,14.4838,0.5151,443.254
