req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,client_infer_submit_time,device_start_time,device_end_time,client_receive_time,client_prep_time(ms),client_submit_to_backend_start(ms),backend_exec_time(ms),backend_to_client_return(ms),end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms)
3024,189.55894925546167,site2,192.168.245.193:8000,momentbase,heartrate,1776731334.700072,1776731334.700077,1776731334.7011738,1776731334.746656,1776731334.7485158,0.0050067901611328125,0.02944469451904297,45.48215866088867,2.9271841049194336,48.44379425048828,43.480643,0.003151,1.030519
3026,189.7370386195306,site2,192.168.245.195:8010,papageissvri,etth1fore,1776731334.8780322,1776731334.878037,1776731334.879737,1776731334.9090981,1776731334.9102197,0.00476837158203125,-0.036716461181640625,29.361248016357422,2.8581619262695312,32.187461853027344,27.95782,0.00307,0.6259800000000001
3025,189.73006103741815,site2,192.168.245.191:8010,dinosmall,vocseg,1776731334.8711193,1776731334.8711245,1776731334.8795753,1776731334.9075036,1776731334.925195,0.005245208740234375,-0.17309188842773438,27.92835235595703,26.31521224975586,54.07571792602539,25.646075,0.0037500000000000003,1.45617
3027,189.77390596008163,site2,192.168.245.195:8010,papageissvri,etth1fore,1776731334.9297223,1776731334.9297278,1776731334.9314413,1776731334.9607701,1776731334.961886,0.0054836273193359375,-0.023126602172851562,29.32882308959961,2.8524398803710938,32.16361999511719,27.913856,0.003017,0.646224
3030,189.86394726293742,site2,192.168.245.191:8000,dinosmall,nyudepth,1776731335.0068457,1776731335.0068505,1776731335.0203042,1776731335.0474498,1776731335.0650263,0.00476837158203125,4.768490791320801,27.1456241607666,26.26168727874756,58.18057060241699,25.228271,0.0025900000000000003,1.074669
3028,189.86086339661614,site2,192.168.245.194:8010,swinsmall,eurosatclass,1776731335.0014794,1776731335.0014849,1776731335.0108798,1776731335.0793638,1776731335.0818157,0.0054836273193359375,1.3000965118408203,68.48406791687012,10.546684265136719,80.33633232116699,67.01702700000001,0.002171,0.963786
3029,189.8616412985135,site2,192.168.245.194:8000,swinsmall,imgclass10,1776731335.0033083,1776731335.003313,1776731335.016193,1776731335.0799553,1776731335.0819297,0.00476837158203125,4.651546478271484,63.76242637634277,10.202646255493164,78.62138748168945,62.835428,0.001645,0.44497200000000003
3031,189.902982821045,site2,192.168.245.194:8010,swinsmall,eurosatclass,1776731335.0438917,1776731335.043897,1776731335.080106,1776731335.1356075,1776731335.1366017,0.005245208740234375,28.11431884765625,55.501461029052734,9.088993072509766,92.71001815795898,54.713575,0.001818,0.40597
3032,189.9383081793105,site2,192.168.245.194:8010,swinsmall,eurosatclass,1776731335.0800955,1776731335.0801003,1776731335.136301,1776731335.1853535,1776731335.1863148,0.00476837158203125,48.10595512390137,49.05247688293457,9.05609130859375,106.21929168701172,48.337192,0.0017770000000000002,0.362196
3033,190.1082846723253,site2,192.168.245.191:8000,dinosmall,nyudepth,1776731335.2488666,1776731335.2488716,1776731335.257405,1776731335.2844372,1776731335.301593,0.0050067901611328125,-0.15175342559814453,27.032136917114258,25.841116905212402,52.72650718688965,25.144847000000002,0.0025900000000000003,1.066989
3034,190.22408879097298,site2,192.168.245.191:8010,dinosmall,vocseg,1776731335.364641,1776731335.3646462,1776731335.3732867,1776731335.4013357,1776731335.4186475,0.005245208740234375,0.016689300537109375,28.048992156982422,25.935649871826172,54.00657653808594,25.747926,0.004173,1.4824359999999999
